policy_id,split,policy_kind,sample_count,token_count,avg_nll,target_delta_nll,elapsed_seconds
p45,train,balanced_mixed,100,204800,2.2335833479498977,0.2501926995427397,44.53267251141369
p46,train,balanced_mixed,100,204800,2.314544946081612,0.3311542976744539,58.2577939350158
p47,train,balanced_mixed,100,204800,2.0486958932792136,0.06530524487205569,60.33286572434008
p48,train,balanced_mixed,100,204800,2.1231047870492175,0.1397141386420595,58.4647235609591
p49,train,balanced_mixed,100,204800,2.1646576599663163,0.18126701155915836,62.365789188072085
p50,train,balanced_mixed,100,204800,2.1584059251412167,0.1750152767340587,46.535270776599646
p51,train,balanced_mixed,100,204800,2.2879201188462535,0.3045294704390955,46.70697859302163
p52,train,balanced_mixed,100,204800,2.025616621973746,0.04222597356658819,57.206788811832666
p53,train,balanced_mixed,100,204800,2.0981537029377764,0.11476305453061841,54.954893887043
p54,holdout,balanced_mixed,100,204800,2.1265609408125226,0.1431702924053646,47.79509351961315
p55,holdout,balanced_mixed,100,204800,2.2037172288052096,0.22032658039805164,57.85741445608437
p56,holdout,balanced_mixed,100,204800,2.3053010441301423,0.3219103957229843,58.52942202985287
p57,holdout,balanced_mixed,100,204800,2.0396682642625907,0.05627761585543278,54.21972231194377
p58,holdout,balanced_mixed,100,204800,2.061255808627638,0.07786516022047985,63.51252306252718
p59,holdout,balanced_mixed,100,204800,2.1414522476666673,0.15806159925950936,49.26844928227365
p60,holdout,balanced_mixed,100,204800,2.308213344680323,0.32482269627316485,50.37981308437884
p61,holdout,balanced_mixed,100,204800,2.2551085145091823,0.2717178661020243,46.853493915870786
p62,holdout,balanced_mixed,100,204800,2.044255620964812,0.06086497255765422,49.99970901198685
p63,holdout,balanced_mixed,100,204800,2.063948563083825,0.08055791467666684,49.39465080201626
p64,holdout,balanced_mixed,100,204800,2.126177334293897,0.14278668588673926,49.89166569709778
p65,holdout,balanced_mixed,100,204800,2.1675097251824216,0.18411907677526362,53.88161505945027
p66,holdout,balanced_mixed,100,204800,2.3614928035055205,0.37810215509836254,52.00640055350959
p67,holdout,balanced_mixed,100,204800,2.075650599705267,0.09225995129810927,59.71398686245084
p68,holdout,balanced_mixed,100,204800,2.091396451397044,0.10800580298988627,64.9625942055136
p69,holdout,balanced_mixed,100,204800,2.072431891001179,0.08904124259402102,57.68312490545213
p70,holdout,balanced_mixed,100,204800,2.236453466203277,0.25306281779611894,48.26289977505803
p71,holdout,balanced_mixed,100,204800,2.243349740554957,0.2599590921477992,49.37512381374836
