module_index,module_name,layer,layer_bucket,module_type,module_family,out_features,in_features,numel,method,output_mse,output_rel_mse,output_rmse_over_rms,output_max_abs_error,output_ref_rms,batch_size,quality_formula,quality_model_variant,quality_source_method,quality_local_error_metric,quality_cost,global_coef,layer_coef,type_coef,latency_source,prefill_ms,latency_cost,supported,latency_reason,latency_gain_vs_dense,quality_delta_vs_dense
7,model.language_model.layers.0.mlp.down_proj,0,layers_00_07,down_proj,mlp,4096,11008,45088768,dense_nvfp4,3.467704118520487e-06,0.007263334732159616,0.08522520010043752,0.0859375,0.021850077793670077,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,0.0002082180065133888,0.08560006320476532,0.6713588237762451,0.49883100390434265,latency_model,0.6161100353609755,0.6161100353609755,True,,0.3685491019312248,0.0002082180065133888
7,model.language_model.layers.0.mlp.down_proj,0,layers_00_07,down_proj,mlp,4096,11008,45088768,sparse_bf16,1.5984566061888472e-06,0.0033480726696298864,0.0578625325200158,0.046875,0.021850077793670077,2,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,3.527227221375371e-05,0.07050386071205139,0.6673906445503235,0.2238955944776535,latency_model,0.5130693747467034,0.5130693747467034,True,,0.4715897625454969,3.527227221375371e-05
7,model.language_model.layers.0.mlp.down_proj,0,layers_00_07,down_proj,mlp,4096,11008,45088768,sparse_nvfp4,7.238482794491574e-06,0.015161479091763472,0.12313195804405724,0.1015625,0.021850077793670077,2,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,0.0001397885473475803,0.090397909283638,0.6212528347969055,0.16417357325553894,latency_model,0.5828037906155628,0.5828037906155628,True,,0.4018553466766376,0.0001397885473475803
8,model.language_model.layers.1.self_attn.q_proj,1,layers_00_07,q_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.387783,0.387783,True,,0.0,0.0
8,model.language_model.layers.1.self_attn.q_proj,1,layers_00_07,q_proj,attention,4096,4096,16777216,dense_nvfp4,0.0013323674211278558,0.0020095696650100814,0.04482822397787003,0.33203125,0.814255065986538,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,7.080963945283514e-05,0.08560006320476532,0.6577641367912292,0.6258136630058289,latency_model,0.21869349999999999,0.21869349999999999,True,,0.1690895,7.080963945283514e-05
8,model.language_model.layers.1.self_attn.q_proj,1,layers_00_07,q_proj,attention,4096,4096,16777216,sparse_bf16,0.0012104305205866694,0.0018256559093243628,0.042727694874921146,0.4326171875,0.814255065986538,2,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,3.2799144955608066e-05,0.07050386071205139,0.6497327089309692,0.39218950271606445,latency_model,0.215636,0.215636,True,,0.172147,3.2799144955608066e-05
8,model.language_model.layers.1.self_attn.q_proj,1,layers_00_07,q_proj,attention,4096,4096,16777216,sparse_nvfp4,0.004651240073144436,0.007015325358044296,0.08375753911167816,0.720703125,0.814255065986538,2,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,0.00010441363397699752,0.090397909283638,0.5704208016395569,0.2886394262313843,latency_model,0.201859,0.201859,True,,0.18592399999999998,0.00010441363397699752
9,model.language_model.layers.1.self_attn.k_proj,1,layers_00_07,k_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.387783,0.387783,True,,0.0,0.0
9,model.language_model.layers.1.self_attn.k_proj,1,layers_00_07,k_proj,attention,4096,4096,16777216,dense_nvfp4,0.001404461683705449,0.002134975980117315,0.04620580028651506,0.39453125,0.8110702112052801,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,7.896454725618535e-05,0.08560006320476532,0.6577641367912292,0.6568933725357056,latency_model,0.21869349999999999,0.21869349999999999,True,,0.1690895,7.896454725618535e-05
9,model.language_model.layers.1.self_attn.k_proj,1,layers_00_07,k_proj,attention,4096,4096,16777216,sparse_bf16,0.0014688035007566214,0.002232784439767799,0.047252348510606314,0.53515625,0.8110702112052801,2,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,4.5748279315950716e-05,0.07050386071205139,0.6497327089309692,0.4472808837890625,latency_model,0.215636,0.215636,True,,0.172147,4.5748279315950716e-05
9,model.language_model.layers.1.self_attn.k_proj,1,layers_00_07,k_proj,attention,4096,4096,16777216,sparse_nvfp4,0.005962681956589222,0.009064101144297747,0.09520557307373212,0.765625,0.8110702112052801,2,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,0.00014014411910904975,0.090397909283638,0.5704208016395569,0.2998447120189667,latency_model,0.201859,0.201859,True,,0.18592399999999998,0.00014014411910904975
10,model.language_model.layers.1.self_attn.v_proj,1,layers_00_07,v_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.387783,0.387783,True,,0.0,0.0
10,model.language_model.layers.1.self_attn.v_proj,1,layers_00_07,v_proj,attention,4096,4096,16777216,dense_nvfp4,8.63184395711869e-05,0.023070905775510277,0.1518910984077417,0.1185302734375,0.061167322113616314,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,0.000631443357526585,0.08560006320476532,0.6577641367912292,0.48609983921051025,latency_model,0.21869349999999999,0.21869349999999999,True,,0.1690895,0.000631443357526585
10,model.language_model.layers.1.self_attn.v_proj,1,layers_00_07,v_proj,attention,4096,4096,16777216,sparse_bf16,0.00013874712749384344,0.03708387131342066,0.19257173030697072,0.15625,0.061167322113616314,2,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,0.00026601300941416986,0.07050386071205139,0.6497327089309692,0.1565922200679779,latency_model,0.215636,0.215636,True,,0.172147,0.00026601300941416986
10,model.language_model.layers.1.self_attn.v_proj,1,layers_00_07,v_proj,attention,4096,4096,16777216,sparse_nvfp4,0.0003451017546467483,0.09223765054107916,0.3037065204125179,0.265625,0.061167322113616314,2,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,0.0006544495732874322,0.090397909283638,0.5704208016395569,0.1375986635684967,latency_model,0.201859,0.201859,True,,0.18592399999999998,0.0006544495732874322
11,model.language_model.layers.1.self_attn.o_proj,1,layers_00_07,o_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0,2,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,0.387783,0.387783,True,,0.0,0.0
11,model.language_model.layers.1.self_attn.o_proj,1,layers_00_07,o_proj,attention,4096,4096,16777216,dense_nvfp4,3.5880111681763083e-06,0.007740223208867781,0.08797853834241497,0.083984375,0.02153030344086814,2,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,0.0002302454214089073,0.08560006320476532,0.6577641367912292,0.5283153653144836,latency_model,0.21869349999999999,0.21869349999999999,True,,0.1690895,0.0002302454214089073
11,model.language_model.layers.1.self_attn.o_proj,1,layers_00_07,o_proj,attention,4096,4096,16777216,sparse_bf16,1.025001529342262e-05,0.022111805829669304,0.14870038947383193,0.076171875,0.02153030344086814,2,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,0.0001975689815759616,0.07050386071205139,0.6497327089309692,0.1950504332780838,latency_model,0.215636,0.215636,True,,0.172147,0.0001975689815759616
