point_index,layer,method,modules,latency_cost,quality_cost
6,3,sparse_bf16,2,2.5936959981918335,0.22664052383209146
6,3,dense_bf16,2,4.837587189674378,0.0
6,3,dense_nvfp4,3,10.725881600379942,0.3063809597838315
6,4,sparse_bf16,1,1.2946943998336793,0.1345407211116391
6,4,dense_bf16,3,7.255017590522766,0.0
6,4,dense_nvfp4,3,10.725881600379942,0.27658800336122036
6,5,sparse_bf16,1,1.2946943998336793,0.15731457133160537
6,5,dense_bf16,3,7.255017590522766,0.0
6,5,dense_nvfp4,3,10.725881600379942,0.286550824331135
6,6,dense_bf16,3,7.2570880413055425,0.0
6,6,sparse_bf16,1,1.2990015983581542,0.1638864298280838
6,6,dense_nvfp4,3,10.725881600379942,0.282886231800383
6,7,dense_bf16,4,9.674518442153932,0.0
6,7,dense_nvfp4,3,10.725881600379942,0.28237895242901395
6,8,dense_bf16,4,9.674518442153932,0.0
6,8,dense_nvfp4,3,10.725881600379942,0.2516522090297342
6,9,dense_bf16,4,9.674518442153932,0.0
6,9,dense_nvfp4,3,10.725881600379942,0.2507240139744518
6,10,dense_bf16,4,9.674518442153932,0.0
6,10,dense_nvfp4,3,10.725881600379942,0.24625883050054007
6,11,dense_bf16,4,9.674518442153932,0.0
6,11,dense_nvfp4,3,10.725881600379942,0.25109077685296766
6,12,dense_bf16,4,9.674518442153932,0.0
6,12,dense_nvfp4,3,10.725881600379942,0.2553584158583795
6,13,dense_bf16,4,9.674518442153932,0.0
6,13,dense_nvfp4,3,10.725881600379942,0.2522842820325973
6,14,dense_bf16,4,9.674518442153932,0.0
6,14,dense_nvfp4,3,10.725881600379942,0.2569543309304184
6,15,dense_bf16,4,9.674518442153932,0.0
6,15,dense_nvfp4,3,10.725881600379942,0.254723753239252
6,16,dense_bf16,4,9.674518442153932,0.0
6,16,dense_nvfp4,3,10.725881600379942,0.253029984630326
6,17,dense_bf16,4,9.674518442153932,0.0
6,17,dense_nvfp4,3,10.725881600379942,0.2646687590237499
6,18,dense_bf16,4,9.674518442153932,0.0
6,18,dense_nvfp4,3,10.725881600379942,0.273474914197648
6,19,dense_bf16,4,9.674518442153932,0.0
6,19,dense_nvfp4,3,10.725881600379942,0.2782340434496191
6,20,dense_bf16,4,9.674518442153932,0.0
6,20,dense_nvfp4,3,10.725881600379942,0.270278157758297
6,21,dense_bf16,4,9.674518442153932,0.0
6,21,dense_nvfp4,3,10.725881600379942,0.2812853555666682
6,22,dense_bf16,4,9.674518442153932,0.0
6,22,dense_nvfp4,3,10.725881600379942,0.28653876950290863
6,23,dense_bf16,4,9.674518442153932,0.0
6,23,dense_nvfp4,3,10.725881600379942,0.2991384189556448
6,24,dense_bf16,4,9.674518442153932,0.0
6,24,dense_nvfp4,3,10.725881600379942,0.35062879130531754
6,25,dense_bf16,4,9.674518442153932,0.0
6,25,dense_nvfp4,3,10.725881600379942,0.351056503421187
6,26,dense_bf16,4,9.674518442153932,0.0
6,26,dense_nvfp4,3,10.725881600379942,0.34476977797975344
6,27,dense_bf16,4,9.674518442153932,0.0
6,27,dense_nvfp4,3,10.725881600379942,0.33164766772194804
6,28,dense_bf16,4,9.674518442153932,0.0
6,28,dense_nvfp4,3,10.725881600379942,0.3141407917944872
6,29,dense_bf16,4,9.674518442153932,0.0
6,29,dense_nvfp4,3,10.725881600379942,0.2872030290551148
6,30,dense_bf16,4,9.674518442153932,0.0
6,30,dense_nvfp4,2,5.609350419044494,0.10151013893314763
6,30,sparse_bf16,1,3.2431904077529907,0.0690650561051877
6,31,dense_bf16,4,9.674518442153932,0.0
6,31,dense_nvfp4,2,5.609350419044494,0.06264811372735501
6,31,sparse_bf16,1,3.2431904077529907,0.08887458782061469
7,0,sparse_bf16,5,8.428678417205811,0.2579471061748721
7,0,dense_nvfp4,2,5.609350419044494,0.09820200762116113
7,1,sparse_bf16,5,8.428678417205811,0.5753523977689061
7,1,dense_nvfp4,2,5.609350419044494,0.12047202822854833
7,2,sparse_bf16,2,2.5936959981918335,0.06939912576985724
7,2,dense_bf16,1,2.4191904067993164,0.0
7,2,dense_nvfp4,4,12.717174398899079,0.360784440958196
7,3,sparse_bf16,2,2.5936959981918335,0.22664052383209146
7,3,dense_bf16,1,2.4191904067993164,0.0
7,3,dense_nvfp4,4,12.717174398899079,0.3678045236054248
7,4,sparse_bf16,2,2.5936959981918335,0.22767239621305738
7,4,dense_bf16,2,4.837587189674378,0.0
7,4,dense_nvfp4,3,10.725881600379942,0.27658800336122036
7,5,sparse_bf16,2,2.5936959981918335,0.26610480929781055
7,5,dense_bf16,1,2.4191904067993164,0.0
7,5,dense_nvfp4,4,12.717174398899079,0.37906655720316806
7,6,sparse_bf16,2,2.5936959981918335,0.3724849015389563
7,6,dense_bf16,1,2.4191904067993164,0.0
7,6,dense_nvfp4,4,12.717174398899079,0.3792411599524599
7,7,sparse_bf16,2,2.5936959981918335,0.40417780242423035
7,7,dense_bf16,1,2.4191904067993164,0.0
7,7,dense_nvfp4,4,12.717174398899079,0.39285822620507976
7,8,sparse_bf16,2,2.5936959981918335,0.37023099083217687
7,8,dense_bf16,2,4.837587189674378,0.0
7,8,dense_nvfp4,3,10.725881600379942,0.2516522090297342
7,9,sparse_bf16,2,2.5936959981918335,0.40492196634963934
7,9,dense_bf16,2,4.837587189674378,0.0
7,9,dense_nvfp4,3,10.725881600379942,0.2507240139744518
7,10,sparse_bf16,2,2.5936959981918335,0.4262110071326468
7,10,dense_bf16,2,4.837587189674378,0.0
7,10,dense_nvfp4,3,10.725881600379942,0.24625883050054007
7,11,sparse_bf16,2,2.5936959981918335,0.4720278329516362
7,11,dense_bf16,2,4.837587189674378,0.0
