policy_id,sample_kind,method,selected_modules,replaced_modules,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss,worker_index,gpu
sparse_bf16_c032_pair06_low_final,controlled_raw_matched,sparse_bf16,32,32,1.9894646347852136,0.03157617994483908,7.311618328192763,65408,130126.90283203125,1.9578884548403745,0,0
sparse_bf16_c032_pair07_high_final,controlled_raw_matched,sparse_bf16,32,32,1.9788081543319613,0.020919699491586785,7.234115895410433,65408,129429.88375854492,1.9578884548403745,3,3
sparse_bf16_c032_pair07_low_final,controlled_raw_matched,sparse_bf16,32,32,1.9907661062863942,0.03287765144601962,7.321140386073837,65408,130212.02947998047,1.9578884548403745,2,2
sparse_bf16_c064_pair00_high_final,controlled_raw_matched,sparse_bf16,64,64,2.0156224823744564,0.057734027534081855,7.505397905302016,65408,131837.83532714844,1.9578884548403745,1,1
sparse_bf16_c064_pair00_low_final,controlled_raw_matched,sparse_bf16,64,64,2.0225232930566,0.0646348382162254,7.557370355110081,65408,132289.2035522461,1.9578884548403745,0,0
sparse_bf16_c064_pair01_high_final,controlled_raw_matched,sparse_bf16,64,64,2.022369942786409,0.06448148794603425,7.556211519180363,65408,132279.17321777344,1.9578884548403745,3,3
sparse_bf16_c064_pair01_low_final,controlled_raw_matched,sparse_bf16,64,64,2.028283941302514,0.07039548646213967,7.601031344449789,65408,132665.99603271484,1.9578884548403745,2,2
sparse_bf16_c064_pair02_high_final,controlled_raw_matched,sparse_bf16,64,64,2.0224194834610256,0.06453102862065108,7.556585868269247,65408,132282.41357421875,1.9578884548403745,1,1
sparse_bf16_c064_pair02_low_final,controlled_raw_matched,sparse_bf16,64,64,2.0311553874827646,0.07326693264239004,7.622888662908404,65408,132853.81158447266,1.9578884548403745,0,0
sparse_bf16_c064_pair03_high_final,controlled_raw_matched,sparse_bf16,64,64,2.0105085466239316,0.05262009178355709,7.4671137574034505,65408,131503.34301757812,1.9578884548403745,3,3
sparse_bf16_c064_pair03_low_final,controlled_raw_matched,sparse_bf16,64,64,2.0247391599964955,0.0668507051561209,7.574135049538941,65408,132434.13897705078,1.9578884548403745,2,2
sparse_bf16_c064_pair04_high_final,controlled_raw_matched,sparse_bf16,64,64,2.0186588031671753,0.06077034832680073,7.528221333109159,65408,132036.4349975586,1.9578884548403745,1,1
sparse_bf16_c064_pair04_low_final,controlled_raw_matched,sparse_bf16,64,64,2.0086653274565993,0.050776872616224766,7.45336290700982,65408,131382.78173828125,1.9578884548403745,0,0
sparse_bf16_c064_pair05_high_final,controlled_raw_matched,sparse_bf16,64,64,2.0189774787589294,0.06108902391855486,7.530620775798947,65408,132057.27893066406,1.9578884548403745,3,3
sparse_bf16_c064_pair05_low_final,controlled_raw_matched,sparse_bf16,64,64,2.030831469481705,0.07294301464133057,7.620419871914924,65408,132832.62475585938,1.9578884548403745,2,2
sparse_bf16_c064_pair06_high_final,controlled_raw_matched,sparse_bf16,64,64,2.00969493365801,0.05180647881763556,7.461040887650205,65408,131450.12622070312,1.9578884548403745,1,1
sparse_bf16_c064_pair06_low_final,controlled_raw_matched,sparse_bf16,64,64,2.019623007093157,0.06173455225278235,7.535483574252277,65408,132099.50164794922,1.9578884548403745,0,0
sparse_bf16_c064_pair07_high_final,controlled_raw_matched,sparse_bf16,64,64,2.0114754114132336,0.05358695657285906,7.47433693813005,65408,131566.5837097168,1.9578884548403745,3,3
sparse_bf16_c064_pair07_low_final,controlled_raw_matched,sparse_bf16,64,64,2.013687808452987,0.055799353612612235,7.490891444864488,65408,131711.29217529297,1.9578884548403745,2,2
