module_index,module_name,layer,layer_bucket,module_type,module_family,out_features,in_features,numel
166,model.language_model.layers.23.mlp.gate_proj,23,layers_16_23,gate_proj,mlp,11008,4096,45088768
167,model.language_model.layers.23.mlp.up_proj,23,layers_16_23,up_proj,mlp,11008,4096,45088768
168,model.language_model.layers.23.mlp.down_proj,23,layers_16_23,down_proj,mlp,4096,11008,45088768
169,model.language_model.layers.24.self_attn.q_proj,24,layers_24_31,q_proj,attention,4096,4096,16777216
170,model.language_model.layers.24.self_attn.k_proj,24,layers_24_31,k_proj,attention,4096,4096,16777216
171,model.language_model.layers.24.self_attn.v_proj,24,layers_24_31,v_proj,attention,4096,4096,16777216
172,model.language_model.layers.24.self_attn.o_proj,24,layers_24_31,o_proj,attention,4096,4096,16777216
173,model.language_model.layers.24.mlp.gate_proj,24,layers_24_31,gate_proj,mlp,11008,4096,45088768
174,model.language_model.layers.24.mlp.up_proj,24,layers_24_31,up_proj,mlp,11008,4096,45088768
175,model.language_model.layers.24.mlp.down_proj,24,layers_24_31,down_proj,mlp,4096,11008,45088768
176,model.language_model.layers.25.self_attn.q_proj,25,layers_24_31,q_proj,attention,4096,4096,16777216
177,model.language_model.layers.25.self_attn.k_proj,25,layers_24_31,k_proj,attention,4096,4096,16777216
178,model.language_model.layers.25.self_attn.v_proj,25,layers_24_31,v_proj,attention,4096,4096,16777216
179,model.language_model.layers.25.self_attn.o_proj,25,layers_24_31,o_proj,attention,4096,4096,16777216
180,model.language_model.layers.25.mlp.gate_proj,25,layers_24_31,gate_proj,mlp,11008,4096,45088768
181,model.language_model.layers.25.mlp.up_proj,25,layers_24_31,up_proj,mlp,11008,4096,45088768
182,model.language_model.layers.25.mlp.down_proj,25,layers_24_31,down_proj,mlp,4096,11008,45088768
183,model.language_model.layers.26.self_attn.q_proj,26,layers_24_31,q_proj,attention,4096,4096,16777216
184,model.language_model.layers.26.self_attn.k_proj,26,layers_24_31,k_proj,attention,4096,4096,16777216
185,model.language_model.layers.26.self_attn.v_proj,26,layers_24_31,v_proj,attention,4096,4096,16777216
186,model.language_model.layers.26.self_attn.o_proj,26,layers_24_31,o_proj,attention,4096,4096,16777216
187,model.language_model.layers.26.mlp.gate_proj,26,layers_24_31,gate_proj,mlp,11008,4096,45088768
188,model.language_model.layers.26.mlp.up_proj,26,layers_24_31,up_proj,mlp,11008,4096,45088768
189,model.language_model.layers.26.mlp.down_proj,26,layers_24_31,down_proj,mlp,4096,11008,45088768
190,model.language_model.layers.27.self_attn.q_proj,27,layers_24_31,q_proj,attention,4096,4096,16777216
191,model.language_model.layers.27.self_attn.k_proj,27,layers_24_31,k_proj,attention,4096,4096,16777216
192,model.language_model.layers.27.self_attn.v_proj,27,layers_24_31,v_proj,attention,4096,4096,16777216
193,model.language_model.layers.27.self_attn.o_proj,27,layers_24_31,o_proj,attention,4096,4096,16777216
194,model.language_model.layers.27.mlp.gate_proj,27,layers_24_31,gate_proj,mlp,11008,4096,45088768
195,model.language_model.layers.27.mlp.up_proj,27,layers_24_31,up_proj,mlp,11008,4096,45088768
196,model.language_model.layers.27.mlp.down_proj,27,layers_24_31,down_proj,mlp,4096,11008,45088768
197,model.language_model.layers.28.self_attn.q_proj,28,layers_24_31,q_proj,attention,4096,4096,16777216
198,model.language_model.layers.28.self_attn.k_proj,28,layers_24_31,k_proj,attention,4096,4096,16777216
199,model.language_model.layers.28.self_attn.v_proj,28,layers_24_31,v_proj,attention,4096,4096,16777216
200,model.language_model.layers.28.self_attn.o_proj,28,layers_24_31,o_proj,attention,4096,4096,16777216
201,model.language_model.layers.28.mlp.gate_proj,28,layers_24_31,gate_proj,mlp,11008,4096,45088768
202,model.language_model.layers.28.mlp.up_proj,28,layers_24_31,up_proj,mlp,11008,4096,45088768
203,model.language_model.layers.28.mlp.down_proj,28,layers_24_31,down_proj,mlp,4096,11008,45088768
204,model.language_model.layers.29.self_attn.q_proj,29,layers_24_31,q_proj,attention,4096,4096,16777216
205,model.language_model.layers.29.self_attn.k_proj,29,layers_24_31,k_proj,attention,4096,4096,16777216
206,model.language_model.layers.29.self_attn.v_proj,29,layers_24_31,v_proj,attention,4096,4096,16777216
