module_index,module_name,layer,layer_bucket,module_type,module_family,out_features,in_features,numel,method,output_mse,output_rel_mse,output_rmse_over_rms,output_max_abs_error,output_ref_rms
20,model.language_model.layers.2.mlp.up_proj,2,layers_00_07,up_proj,mlp,11008,4096,45088768,sparse_bf16,0.0013606842840090394,0.09364419530748257,0.3060133907323053,0.2900390625,0.12054196125826994
20,model.language_model.layers.2.mlp.up_proj,2,layers_00_07,up_proj,mlp,11008,4096,45088768,sparse_nvfp4,0.002449517138302326,0.1685791950446934,0.4105839683240121,0.40625,0.12054196125826994
21,model.language_model.layers.2.mlp.down_proj,2,layers_00_07,down_proj,mlp,4096,11008,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0
21,model.language_model.layers.2.mlp.down_proj,2,layers_00_07,down_proj,mlp,4096,11008,45088768,dense_nvfp4,2.182658136007376e-05,0.0048874212035915155,0.06991009371751346,0.125,0.06682715538290102
21,model.language_model.layers.2.mlp.down_proj,2,layers_00_07,down_proj,mlp,4096,11008,45088768,sparse_bf16,3.1852832762524486e-05,0.007132505437740736,0.0844541617550061,0.06640625,0.06682715538290102
21,model.language_model.layers.2.mlp.down_proj,2,layers_00_07,down_proj,mlp,4096,11008,45088768,sparse_nvfp4,7.56995432311669e-05,0.01695068717297959,0.1301948047080973,0.125,0.06682715538290102
22,model.language_model.layers.3.self_attn.q_proj,3,layers_00_07,q_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0
22,model.language_model.layers.3.self_attn.q_proj,3,layers_00_07,q_proj,attention,4096,4096,16777216,dense_nvfp4,0.00240015285089612,0.0022875730370375672,0.04782857970960007,0.6953125,1.0243113041660759
22,model.language_model.layers.3.self_attn.q_proj,3,layers_00_07,q_proj,attention,4096,4096,16777216,sparse_bf16,0.014942259527742863,0.01424138883293215,0.1193372902027365,1.65625,1.0243113041660759
22,model.language_model.layers.3.self_attn.q_proj,3,layers_00_07,q_proj,attention,4096,4096,16777216,sparse_nvfp4,0.029478853568434715,0.02809614002739551,0.16761903241396997,2.0625,1.0243113041660759
23,model.language_model.layers.3.self_attn.k_proj,3,layers_00_07,k_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0
23,model.language_model.layers.3.self_attn.k_proj,3,layers_00_07,k_proj,attention,4096,4096,16777216,dense_nvfp4,0.002643329557031393,0.0016063820647331131,0.040079696415181505,0.6875,1.2827772017163246
23,model.language_model.layers.3.self_attn.k_proj,3,layers_00_07,k_proj,attention,4096,4096,16777216,sparse_bf16,0.017656046897172928,0.010729784711959199,0.10358467411716464,1.875,1.2827772017163246
23,model.language_model.layers.3.self_attn.k_proj,3,layers_00_07,k_proj,attention,4096,4096,16777216,sparse_nvfp4,0.03807801753282547,0.02314045339621548,0.15211986522547105,3.125,1.2827772017163246
24,model.language_model.layers.3.self_attn.v_proj,3,layers_00_07,v_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0
24,model.language_model.layers.3.self_attn.v_proj,3,layers_00_07,v_proj,attention,4096,4096,16777216,dense_nvfp4,0.0006389915943145752,0.017525169544940024,0.1323826633095891,0.22509765625,0.19094859119111837
24,model.language_model.layers.3.self_attn.v_proj,3,layers_00_07,v_proj,attention,4096,4096,16777216,sparse_bf16,0.0036818457301706076,0.10097937317746278,0.31777251797073763,0.6376953125,0.19094859119111837
24,model.language_model.layers.3.self_attn.v_proj,3,layers_00_07,v_proj,attention,4096,4096,16777216,sparse_nvfp4,0.0066973306238651276,0.18368294000433,0.42858247748167444,0.7626953125,0.19094859119111837
25,model.language_model.layers.3.self_attn.o_proj,3,layers_00_07,o_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0
25,model.language_model.layers.3.self_attn.o_proj,3,layers_00_07,o_proj,attention,4096,4096,16777216,dense_nvfp4,3.7693480408051983e-06,0.010058733047017503,0.10029323530038056,0.171875,0.0193580442667624
25,model.language_model.layers.3.self_attn.o_proj,3,layers_00_07,o_proj,attention,4096,4096,16777216,sparse_bf16,1.861799682956189e-05,0.04968324971624972,0.22289739728460203,0.46875,0.0193580442667624
25,model.language_model.layers.3.self_attn.o_proj,3,layers_00_07,o_proj,attention,4096,4096,16777216,sparse_nvfp4,3.4621916711330414e-05,0.09239067711586378,0.303958347666031,0.46875,0.0193580442667624
26,model.language_model.layers.3.mlp.gate_proj,3,layers_00_07,gate_proj,mlp,11008,4096,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0
26,model.language_model.layers.3.mlp.gate_proj,3,layers_00_07,gate_proj,mlp,11008,4096,45088768,dense_nvfp4,0.00043971044942736626,0.012833849348841887,0.11328658062119223,0.30859375,0.18509936323965734
26,model.language_model.layers.3.mlp.gate_proj,3,layers_00_07,gate_proj,mlp,11008,4096,45088768,sparse_bf16,0.002692899899557233,0.07859779467928663,0.2803529822906948,0.6015625,0.18509936323965734
26,model.language_model.layers.3.mlp.gate_proj,3,layers_00_07,gate_proj,mlp,11008,4096,45088768,sparse_nvfp4,0.0048874556086957455,0.14265039428296497,0.3776908713259628,1.0625,0.18509936323965734
27,model.language_model.layers.3.mlp.up_proj,3,layers_00_07,up_proj,mlp,11008,4096,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0
27,model.language_model.layers.3.mlp.up_proj,3,layers_00_07,up_proj,mlp,11008,4096,45088768,dense_nvfp4,0.00037436187267303467,0.015917629766531556,0.12616508933350604,0.1484375,0.1533580599926203
27,model.language_model.layers.3.mlp.up_proj,3,layers_00_07,up_proj,mlp,11008,4096,45088768,sparse_bf16,0.0022442045155912638,0.09542215489118404,0.30890476670194655,0.37744140625,0.1533580599926203
27,model.language_model.layers.3.mlp.up_proj,3,layers_00_07,up_proj,mlp,11008,4096,45088768,sparse_nvfp4,0.003990442492067814,0.16967108786969756,0.4119115049008677,0.50390625,0.1533580599926203
28,model.language_model.layers.3.mlp.down_proj,3,layers_00_07,down_proj,mlp,4096,11008,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0
28,model.language_model.layers.3.mlp.down_proj,3,layers_00_07,down_proj,mlp,4096,11008,45088768,dense_nvfp4,1.558997064421419e-05,0.011423260783985902,0.10687965561315166,0.0703125,0.0369426123654225
28,model.language_model.layers.3.mlp.down_proj,3,layers_00_07,down_proj,mlp,4096,11008,45088768,sparse_bf16,8.191535016521811e-05,0.06002194798847069,0.24499377132586594,0.1484375,0.0369426123654225
28,model.language_model.layers.3.mlp.down_proj,3,layers_00_07,down_proj,mlp,4096,11008,45088768,sparse_nvfp4,0.0001522063830634579,0.11152639388493044,0.33395567652748537,0.21875,0.0369426123654225
29,model.language_model.layers.4.self_attn.q_proj,4,layers_00_07,q_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0
29,model.language_model.layers.4.self_attn.q_proj,4,layers_00_07,q_proj,attention,4096,4096,16777216,dense_nvfp4,0.0024165331851691008,0.00235859820043783,0.048565401269193995,0.5234375,1.0122071490216404
29,model.language_model.layers.4.self_attn.q_proj,4,layers_00_07,q_proj,attention,4096,4096,16777216,sparse_bf16,0.01290825568139553,0.012598787721096587,0.11224432155390573,1.15625,1.0122071490216404
29,model.language_model.layers.4.self_attn.q_proj,4,layers_00_07,q_proj,attention,4096,4096,16777216,sparse_nvfp4,0.02583378739655018,0.0252144372930401,0.15879054535154194,1.8125,1.0122071490216404
30,model.language_model.layers.4.self_attn.k_proj,4,layers_00_07,k_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0
30,model.language_model.layers.4.self_attn.k_proj,4,layers_00_07,k_proj,attention,4096,4096,16777216,dense_nvfp4,0.0024570252280682325,0.0015296083650347075,0.03911020793903693,0.625,1.2674028601657643
