policy_index,policy_name,policy_json,label,backend_counts
38,policy_038_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_038_random.json,random_mixed,"{'dense_bf16': 49, 'dense_nvfp4': 54, 'sparse_bf16': 58, 'sparse_nvfp4': 63}"
39,policy_039_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_039_random.json,random_mixed,"{'dense_bf16': 52, 'dense_nvfp4': 62, 'sparse_bf16': 54, 'sparse_nvfp4': 56}"
40,policy_040_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_040_random.json,random_mixed,"{'dense_bf16': 56, 'dense_nvfp4': 61, 'sparse_bf16': 59, 'sparse_nvfp4': 48}"
41,policy_041_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_041_random.json,random_mixed,"{'dense_bf16': 60, 'dense_nvfp4': 46, 'sparse_bf16': 68, 'sparse_nvfp4': 50}"
42,policy_042_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_042_random.json,random_mixed,"{'dense_bf16': 48, 'dense_nvfp4': 57, 'sparse_bf16': 66, 'sparse_nvfp4': 53}"
43,policy_043_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_043_random.json,random_mixed,"{'dense_bf16': 61, 'dense_nvfp4': 60, 'sparse_bf16': 53, 'sparse_nvfp4': 50}"
44,policy_044_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_044_random.json,random_mixed,"{'dense_bf16': 53, 'dense_nvfp4': 55, 'sparse_bf16': 59, 'sparse_nvfp4': 57}"
45,policy_045_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_045_random.json,random_mixed,"{'dense_bf16': 64, 'dense_nvfp4': 54, 'sparse_bf16': 54, 'sparse_nvfp4': 52}"
46,policy_046_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_046_random.json,random_mixed,"{'dense_bf16': 51, 'dense_nvfp4': 56, 'sparse_bf16': 57, 'sparse_nvfp4': 60}"
47,policy_047_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_047_random.json,random_mixed,"{'dense_bf16': 53, 'dense_nvfp4': 50, 'sparse_bf16': 58, 'sparse_nvfp4': 63}"
