module_name,module_index,layer,module_type,module_family,linear_group,n,k,selected_method,quality_cost,latency_cost,prefill_ms,decode_ms,conversion_ms,decode_backend,output_tokens
model.layers.9.mlp.up_proj,69,9,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.08581906736925388,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.9.mlp.down_proj,70,9,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.4942711072582968,5.968221653425413,3.4039856523906575,0.08013237503233611,0.0,dense_bf16,32
model.layers.10.self_attn.q_proj,71,10,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.2543377514877697,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.10.self_attn.k_proj,72,10,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.17187325564487713,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.10.self_attn.v_proj,73,10,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.9502240528206046,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.10.self_attn.o_proj,74,10,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.3038393939006185,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.10.mlp.gate_proj,75,10,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.046507742359480776,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.10.mlp.up_proj,76,10,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.08344020161359293,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.10.mlp.down_proj,77,10,down_proj,mlp,mlp.down_proj,4096,11008,dense_nvfp4_prefill_marlin_decode,0.11631088652746635,6.763785835513664,4.934856405513043,0.03955085119545705,0.5633021917459957,marlin_nvfp4,32
model.layers.11.self_attn.q_proj,78,11,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.28029405515157646,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.11.self_attn.k_proj,79,11,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.19173377780005976,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.11.self_attn.v_proj,80,11,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.0177710710629566,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.11.self_attn.o_proj,81,11,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.3615150941968541,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.11.mlp.gate_proj,82,11,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.046612268663719356,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.11.mlp.up_proj,83,11,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.08607785611124551,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.11.mlp.down_proj,84,11,down_proj,mlp,mlp.down_proj,4096,11008,dense_nvfp4_prefill_marlin_decode,0.11840065207800277,6.763785835513664,4.934856405513043,0.03955085119545705,0.5633021917459957,marlin_nvfp4,32
model.layers.12.self_attn.q_proj,85,12,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.293653030140188,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.12.self_attn.k_proj,86,12,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.20738795963310916,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.12.self_attn.v_proj,87,12,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.0481134339513907,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.12.self_attn.o_proj,88,12,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.3692721183817627,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.12.mlp.gate_proj,89,12,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.04899437838705202,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.12.mlp.up_proj,90,12,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.0869622157671897,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.12.mlp.down_proj,91,12,down_proj,mlp,mlp.down_proj,4096,11008,dense_nvfp4_prefill_marlin_decode,0.11940182170413777,6.763785835513664,4.934856405513043,0.03955085119545705,0.5633021917459957,marlin_nvfp4,32
model.layers.13.self_attn.q_proj,92,13,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.30168622744387,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.13.self_attn.k_proj,93,13,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.21511963718336652,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.13.self_attn.v_proj,94,13,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.1693752649231568,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.13.self_attn.o_proj,95,13,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.2681580036044704,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.13.mlp.gate_proj,96,13,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.04733137026974737,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.13.mlp.up_proj,97,13,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.08521866340097067,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
