method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,runtime_path,activation_quantization,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss
dense_nvfp4,layer:28,layer,28,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.959425618737178,0.0015371638968033619,7.095250515570687,65408,128162.11087036133,1.9578884548403745
dense_nvfp4,layer:29,layer,29,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9612124610087176,0.003324006168343052,7.107939942745271,65408,128278.9846496582,1.9578884548403745
dense_nvfp4,layer:30,layer,30,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9642548187838142,0.006366363943439701,7.129597767815957,65408,128477.97918701172,1.9578884548403745
dense_nvfp4,layer:31,layer,31,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9619646268348172,0.004076171994442657,7.113288303439088,65408,128328.18231201172,1.9578884548403745
dense_nvfp4,type:q_proj,type,,q_proj,32,32,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9625754412372984,0.004686986396923887,7.117634529617474,65408,128368.13446044922,1.9578884548403745
dense_nvfp4,type:k_proj,type,,k_proj,32,32,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9610234902562926,0.003135035415918086,7.106596876890179,65408,128266.6244506836,1.9578884548403745
dense_nvfp4,type:v_proj,type,,v_proj,32,32,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9691105500126072,0.011222095172232605,7.164301365831067,65408,128795.58285522461,1.9578884548403745
dense_nvfp4,type:o_proj,type,,o_proj,32,32,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9644951437784035,0.0066066889380289595,7.1313113942663175,65408,128493.69836425781,1.9578884548403745
dense_nvfp4,type:gate_proj,type,,gate_proj,32,32,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9662625593681857,0.008374104527811177,7.14392653001004,65408,128609.3014831543,1.9578884548403745
dense_nvfp4,type:up_proj,type,,up_proj,32,32,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9663377829960413,0.008449328155666791,7.144463942293559,65408,128614.22171020508,1.9578884548403745
dense_nvfp4,type:down_proj,type,,down_proj,32,32,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9953445623065627,0.037456107466188104,7.354736756413007,65408,130511.49713134766,1.9578884548403745
dense_nvfp4,layer_type:0:q_proj,layer_type,0,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9579730001214433,8.454528106871528e-05,7.084951304812137,65408,128067.09799194336,1.9578884548403745
dense_nvfp4,layer_type:0:k_proj,layer_type,0,k_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9585754927357115,0.0006870378953369727,7.0892212218133,65408,128106.50582885742,1.9578884548403745
dense_nvfp4,layer_type:0:v_proj,layer_type,0,v_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.95891187335647,0.0010234185160955533,7.091606299573067,65408,128128.5078125,1.9578884548403745
dense_nvfp4,layer_type:0:o_proj,layer_type,0,o_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9580093685194937,0.00012091367911915007,7.085208977826906,65408,128069.47677612305,1.9578884548403745
dense_nvfp4,layer_type:0:gate_proj,layer_type,0,gate_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9579420705597461,5.361571937156917e-05,7.084732173762464,65408,128065.07495117188,1.9578884548403745
dense_nvfp4,layer_type:0:up_proj,layer_type,0,up_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9578864401800524,-2.0146603221249393e-06,7.084338058384105,65408,128061.43627929688,1.9578884548403745
dense_nvfp4,layer_type:0:down_proj,layer_type,0,down_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9576681710036068,-0.00022028383676775398,7.082791934492172,65408,128047.1597290039,1.9578884548403745
dense_nvfp4,layer_type:1:q_proj,layer_type,1,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9581474492694533,0.0002589944290787294,7.086187376343632,65408,128078.5083618164,1.9578884548403745
dense_nvfp4,layer_type:1:k_proj,layer_type,1,k_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9578233479053773,-6.510693499728326e-05,7.08389110548122,65408,128057.30953979492,1.9578884548403745
