module_name,module_index,layer,module_type,module_family,linear_group,n,k,selected_method,quality_cost,latency_cost,prefill_ms,decode_ms,conversion_ms,decode_backend,output_tokens
model.layers.2.mlp.gate_proj,19,2,gate_proj,mlp,mlp.gate_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.08546510385527288,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.2.mlp.up_proj,20,2,up_proj,mlp,mlp.up_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.12772477554360512,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.2.mlp.down_proj,21,2,down_proj,mlp,mlp.down_proj,4096,14336,dense_nvfp4_prefill_marlin_decode,0.1146701061613757,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,marlin_nvfp4,256
model.layers.3.self_attn.q_proj,22,3,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.013127901036137448,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.3.self_attn.k_proj,23,3,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.3.self_attn.v_proj,24,3,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.3.self_attn.o_proj,25,3,o_proj,attention,self_attn.o_proj,4096,4096,marlin_nvfp4,0.0911358338990945,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.3.mlp.gate_proj,26,3,gate_proj,mlp,mlp.gate_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.06871328875305532,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.3.mlp.up_proj,27,3,up_proj,mlp,mlp.up_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.12224585852494667,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.3.mlp.down_proj,28,3,down_proj,mlp,mlp.down_proj,4096,14336,dense_nvfp4_prefill_marlin_decode,0.12191818940960074,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,marlin_nvfp4,256
model.layers.4.self_attn.q_proj,29,4,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.012138389240701203,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.4.self_attn.k_proj,30,4,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.4.self_attn.v_proj,31,4,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
