key,family,policy_name,policy_json,batch_size,predicted_linear_latency_ms,predicted_linear_speedup_vs_dense,predicted_quality_cost,backend_counts,replacement_ratio,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,parent_point,mutation_rate,suspicious_module_count,actual_batch_size,input_tokens,e2e_prefill_mean_ms,e2e_prefill_p50_ms,e2e_prefill_p90_ms,e2e_prefill_min_ms,e2e_prefill_max_ms,samples_per_sec,global_accuracy,total_right,total_wrong,subset_samples,accuracy_batch_size,calib_samples,replaced_linear_count,skipped_linear_count,backend_counts_runtime,runtime_skipped,warmup,iters
random_random_001,random,random_001,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_001.json,16,960.1751204355645,1.0255198616521564,0.026395601503066933,"{'dense_bf16': 211, 'dense_nvfp4': 6, 'sparse_bf16': 1, 'sparse_nvfp4': 6}",0.05,211,6,1,6,,,,16,1024,1291.933093,1292.062256,1293.323254,1290.124268,1293.854004,12.384542,0.99500000,995,5,1000,8,128,13,0,"{'dense_bf16': 211, 'dense_nvfp4': 6, 'sparse_bf16': 1, 'sparse_nvfp4': 6}",[],3,10
random_random_002,random,random_002,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_002.json,16,929.2655643149777,1.0596310618663607,0.031393390263242164,"{'dense_bf16': 195, 'dense_nvfp4': 12, 'sparse_bf16': 9, 'sparse_nvfp4': 8}",0.1,195,12,9,8,,,,16,1024,1257.299817,1257.220825,1257.641724,1256.652588,1258.724976,12.725684,0.99600000,996,4,1000,8,128,29,0,"{'dense_bf16': 195, 'dense_nvfp4': 12, 'sparse_bf16': 9, 'sparse_nvfp4': 8}",[],3,10
random_random_003,random,random_003,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_003.json,16,906.4971520178209,1.0862457256253628,0.06935749017845722,"{'dense_bf16': 186, 'dense_nvfp4': 12, 'sparse_bf16': 12, 'sparse_nvfp4': 14}",0.2,186,12,12,14,,,,16,1024,1250.892236,1250.922180,1251.245947,1250.053467,1251.625854,12.790870,0.99400000,994,6,1000,8,128,38,0,"{'dense_bf16': 186, 'dense_nvfp4': 12, 'sparse_bf16': 12, 'sparse_nvfp4': 14}",[],3,10
random_random_004,random,random_004,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_004.json,16,851.4997167947266,1.1564051487621363,0.0772823233484226,"{'dense_bf16': 154, 'dense_nvfp4': 26, 'sparse_bf16': 28, 'sparse_nvfp4': 16}",0.35,154,26,28,16,,,,16,1024,1180.429211,1180.352234,1180.919788,1179.633667,1181.919434,13.554392,0.99700000,997,3,1000,8,128,70,0,"{'dense_bf16': 154, 'dense_nvfp4': 26, 'sparse_bf16': 28, 'sparse_nvfp4': 16}",[],3,10
random_random_005,random,random_005,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_005.json,16,757.7819396887404,1.2994221755606636,0.1688325305181093,"{'dense_bf16': 108, 'dense_nvfp4': 41, 'sparse_bf16': 39, 'sparse_nvfp4': 36}",0.5,108,41,39,36,,,,16,1024,1092.971191,1092.973572,1093.317029,1092.380615,1093.373169,14.638995,0.98100000,981,19,1000,8,128,116,0,"{'dense_bf16': 108, 'dense_nvfp4': 41, 'sparse_bf16': 39, 'sparse_nvfp4': 36}",[],3,10
random_random_006,random,random_006,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_006.json,16,700.0596743420344,1.4065638869949098,0.2084287889667012,"{'dense_bf16': 84, 'dense_nvfp4': 44, 'sparse_bf16': 46, 'sparse_nvfp4': 50}",0.65,84,44,46,50,,,,16,1024,1053.329370,1053.346558,1053.532385,1053.087036,1053.574463,15.189931,0.99200000,992,8,1000,8,128,140,0,"{'dense_bf16': 84, 'dense_nvfp4': 44, 'sparse_bf16': 46, 'sparse_nvfp4': 50}",[],3,10
random_random_007,random,random_007,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_007.json,16,642.2512899754124,1.533167269634631,0.2456362389500904,"{'dense_bf16': 40, 'dense_nvfp4': 57, 'sparse_bf16': 67, 'sparse_nvfp4': 60}",0.8,40,57,67,60,,,,16,1024,1007.388129,1007.229797,1008.381012,1006.178955,1009.167358,15.882657,0.97900000,979,21,1000,8,128,184,0,"{'dense_bf16': 40, 'dense_nvfp4': 57, 'sparse_bf16': 67, 'sparse_nvfp4': 60}",[],3,10
random_random_008,random,random_008,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_008.json,16,542.6303829449124,1.8146397393506932,0.2955746024005137,"{'dense_nvfp4': 66, 'sparse_bf16': 88, 'sparse_nvfp4': 70}",1.0,0,66,88,70,,,,16,1024,920.437482,919.868988,921.620685,919.310852,924.681641,17.383038,0.98800000,988,12,1000,8,128,224,0,"{'dense_nvfp4': 66, 'sparse_bf16': 88, 'sparse_nvfp4': 70}",[],3,10
random_random_009,random,random_009,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_009.json,16,965.0878672753332,1.020299487808192,0.030172579544929953,"{'dense_bf16': 214, 'dense_nvfp4': 3, 'sparse_bf16': 4, 'sparse_nvfp4': 3}",0.05,214,3,4,3,,,,16,1024,1288.032068,1287.974182,1288.342200,1287.090332,1289.967407,12.422051,0.99200000,992,8,1000,8,128,10,0,"{'dense_bf16': 214, 'dense_nvfp4': 3, 'sparse_bf16': 4, 'sparse_nvfp4': 3}",[],3,10
random_random_010,random,random_010,artifacts/debug/025_fakevlm_pareto_search_audit/policies/random/random_010.json,16,940.7654760061911,1.0466781379469356,0.04931361149912756,"{'dense_bf16': 195, 'dense_nvfp4': 12, 'sparse_bf16': 8, 'sparse_nvfp4': 9}",0.1,195,12,8,9,,,,16,1024,1280.389258,1280.272400,1281.111963,1279.541992,1281.537354,12.496200,0.99500000,995,5,1000,8,128,29,0,"{'dense_bf16': 195, 'dense_nvfp4': 12, 'sparse_bf16': 8, 'sparse_nvfp4': 9}",[],3,10
