method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,runtime_path,activation_quantization,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss,module_name,module_family,numel,kernel_module_type,weight_mse,weight_rel_mse,weight_rmse_over_rms,weight_max_abs_error,output_mse,output_rel_mse,output_rmse_over_rms,output_max_abs_error
dense_nvfp4,layer_type:4:v_proj,layer_type,4,v_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9580691901205103,0.00018073528013573537,7.085632839049399,65408,128073.38958740234,1.9578884548403745,model.layers.4.self_attn.v_proj,attention,16777216,NVFP4Linear,1.5491145859414246e-06,0.00751599926445763,0.08669486296463955,0.0107421875,0.001172044016129803,0.017685335090758852,0.13298622143199215,0.2421875
dense_nvfp4,layer_type:4:o_proj,layer_type,4,o_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9575731563008227,-0.00031529853955181153,7.082118997091614,65408,128040.94500732422,1.9578884548403745,model.layers.4.self_attn.o_proj,attention,16777216,NVFP4Linear,1.4886811641190434e-06,0.007545096504381444,0.08686251495542507,0.05078125,1.5203435907551466e-05,0.01244864089009189,0.1115734775387587,0.23227691650390625
dense_nvfp4,layer_type:4:gate_proj,layer_type,4,gate_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9582221783303935,0.0003337234900189223,7.086716940258572,65408,128083.39624023438,1.9578884548403745,model.layers.4.mlp.gate_proj,mlp,45088768,NVFP4Linear,2.801110852932081e-06,0.007443053029948133,0.08627313040540567,0.02099609375,0.0007274102847373416,0.009602949224758512,0.09799463875518145,0.3125
dense_nvfp4,layer_type:4:up_proj,layer_type,4,up_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9584649593629482,0.0005765045225736287,7.08843766958652,65408,128099.27606201172,1.9578884548403745,model.layers.4.mlp.up_proj,mlp,45088768,NVFP4Linear,2.2683552531308907e-06,0.007438615899810654,0.08624741097453682,0.019775390625,0.0005646532487400352,0.01550064693380663,0.12450159410146776,0.2236328125
dense_nvfp4,layer_type:4:down_proj,layer_type,4,down_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9582011914299893,0.00031273658961472606,7.086568213596616,65408,128082.02352905273,1.9578884548403745,model.layers.4.mlp.down_proj,mlp,45088768,NVFP4Linear,2.2965785235079914e-06,0.007568685843604186,0.08699819448473736,0.03515625,4.3306458138658854e-05,0.013994578553740976,0.11829868365176756,0.4375
dense_nvfp4,layer_type:5:q_proj,layer_type,5,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9579095457864601,2.1090946085600137e-05,7.08450174820201,65408,128062.94757080078,1.9578884548403745,model.layers.5.self_attn.q_proj,attention,16777216,NVFP4Linear,5.229602720646653e-06,0.0075003264658729885,0.0866044252095295,0.0262451171875,0.005256060558167519,0.00328586333056773,0.05732245049339508,0.625
dense_nvfp4,layer_type:5:k_proj,layer_type,5,k_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9578145478802884,-7.390696008613418e-05,7.083828767336054,65408,128056.7339477539,1.9578884548403745,model.layers.5.self_attn.k_proj,attention,16777216,NVFP4Linear,5.661203431372996e-06,0.007491181947279755,0.08655161435397814,0.02490234375,0.006114860647358,0.0024342370220174097,0.0493379876162112,0.8125
dense_nvfp4,layer_type:5:v_proj,layer_type,5,v_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.958153979419029,0.00026552457865447465,7.086233650358208,65408,128078.93548583984,1.9578884548403745,model.layers.5.self_attn.v_proj,attention,16777216,NVFP4Linear,1.629011421755422e-06,0.00750921623761643,0.08665573401464227,0.01019287109375,0.0013212981066317298,0.018304949762263115,0.13529578619551724,0.2293701171875
dense_nvfp4,layer_type:5:o_proj,layer_type,5,o_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9585867595299349,0.0006983046895603362,7.089301095059967,65408,128107.24276733398,1.9578884548403745,model.layers.5.self_attn.o_proj,attention,16777216,NVFP4Linear,1.5638066770407022e-06,0.007530425518641843,0.0867780243992789,0.064453125,2.791435576909862e-05,0.014579579841493055,0.12074593095211554,0.48046875
dense_nvfp4,layer_type:5:gate_proj,layer_type,5,gate_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.958474373864101,0.0005859190237265111,7.088504404005268,65408,128099.89184570312,1.9578884548403745,model.layers.5.mlp.gate_proj,mlp,45088768,NVFP4Linear,2.8314871299297137e-06,0.007437504540620871,0.08624096787850233,0.02392578125,0.0009293463020206451,0.008963284369325242,0.09467462368198377,0.3828125
