policy_id,split,policy_kind,sample_count,token_count,avg_nll,target_delta_nll,elapsed_seconds,decode_transitions
p32,train,controlled,100,8000,1.9225713523573889,0.002385633408990895,131.86813311837614,100
p33,train,controlled,100,8000,1.9231027925829967,0.002917073634598699,143.10466336086392,100
p34,train,controlled,100,8000,1.9182818946989002,-0.0019038242494977542,134.82382621243596,100
p35,train,controlled,100,8000,1.926299691714672,0.006113972766274012,144.46893611364067,100
p36,train,controlled,100,8000,1.922181354951902,0.0019956360035040532,137.5939083043486,100
p37,train,balanced_mixed,100,8000,2.002713562267164,0.08252784331876595,255.61813432350755,100
p38,train,balanced_mixed,100,8000,1.9964081754765866,0.0762224565281886,244.99133020453155,100
p39,train,balanced_mixed,100,8000,1.9973197119218267,0.07713399297342871,222.09279652871192,100
p40,train,balanced_mixed,100,8000,1.9971430888987964,0.07695736995039848,255.3060271590948,100
p41,train,balanced_mixed,100,8000,2.0177378784482642,0.09755215949986629,251.42555078864098,100
p42,train,balanced_mixed,100,8000,2.002713562267164,0.08252784331876595,277.05131901986897,100
p43,train,balanced_mixed,100,8000,1.9964081754765866,0.0762224565281886,246.00953118130565,100
p44,train,balanced_mixed,100,8000,1.9973197119218267,0.07713399297342871,230.17180947214365,100
p45,train,balanced_mixed,100,8000,1.9971430888987964,0.07695736995039848,212.27363173104823,100
p46,train,balanced_mixed,100,8000,2.0177378784482642,0.09755215949986629,245.0820585731417,100
p47,train,balanced_mixed,100,8000,2.002713562267164,0.08252784331876595,232.76485828123987,100
p48,train,balanced_mixed,100,8000,1.9964081754765866,0.0762224565281886,210.44235697202384,100
p49,train,balanced_mixed,100,8000,1.9973197119218267,0.07713399297342871,214.47074088826776,100
p50,train,balanced_mixed,100,8000,1.9971430888987964,0.07695736995039848,260.20247422531247,100
p51,train,balanced_mixed,100,8000,2.0177378784482642,0.09755215949986629,214.17862977087498,100
p52,train,balanced_mixed,100,8000,2.002713562267164,0.08252784331876595,214.2980439029634,100
p53,train,balanced_mixed,100,8000,1.9964081754765866,0.0762224565281886,245.42338643036783,100
p54,holdout,balanced_mixed,100,8000,1.9973197119218267,0.07713399297342871,195.26380805112422,100
p55,holdout,balanced_mixed,100,8000,1.9971430888987964,0.07695736995039848,199.8917970173061,100
p56,holdout,balanced_mixed,100,8000,2.0177378784482642,0.09755215949986629,203.5845439247787,100
p57,holdout,balanced_mixed,100,8000,2.002713562267164,0.08252784331876595,209.06526025943458,100
p58,holdout,balanced_mixed,100,8000,1.9964081754765866,0.0762224565281886,221.9348579198122,100
p59,holdout,balanced_mixed,100,8000,1.9973197119218267,0.07713399297342871,210.28505406342447,100
p60,holdout,balanced_mixed,100,8000,1.9971430888987964,0.07695736995039848,194.6983437947929,100
p61,holdout,balanced_mixed,100,8000,2.0177378784482642,0.09755215949986629,207.78113385476172,100
p62,holdout,balanced_mixed,100,8000,2.002713562267164,0.08252784331876595,212.68298198468983,100
p63,holdout,balanced_mixed,100,8000,1.9964081754765866,0.0762224565281886,206.1014352068305,100
p64,holdout,balanced_mixed,100,8000,1.9973197119218267,0.07713399297342871,204.4472582936287,100
p65,holdout,balanced_mixed,100,8000,1.9971430888987964,0.07695736995039848,206.89838392101228,100
p66,holdout,balanced_mixed,100,8000,2.0177378784482642,0.09755215949986629,200.46868576481938,100
