n,seed,accuracy,abs_error
100,11,0.99,0.0030000000000000027
100,12,1.0,0.013000000000000012
100,13,0.96,0.027000000000000024
100,14,0.98,0.007000000000000006
100,15,0.99,0.0030000000000000027
100,16,0.98,0.007000000000000006
100,17,0.99,0.0030000000000000027
100,18,1.0,0.013000000000000012
100,19,0.98,0.007000000000000006
100,20,0.99,0.0030000000000000027
100,21,0.98,0.007000000000000006
100,22,0.99,0.0030000000000000027
100,23,1.0,0.013000000000000012
100,24,1.0,0.013000000000000012
100,25,0.98,0.007000000000000006
100,26,0.99,0.0030000000000000027
100,27,0.99,0.0030000000000000027
100,28,0.99,0.0030000000000000027
100,29,1.0,0.013000000000000012
150,0,0.9733333333333334,0.013666666666666605
150,1,0.9866666666666667,0.0003333333333332966
150,2,1.0,0.013000000000000012
150,3,0.98,0.007000000000000006
150,4,0.9933333333333333,0.006333333333333302
150,5,0.9933333333333333,0.006333333333333302
150,6,0.9866666666666667,0.0003333333333332966
150,7,0.9933333333333333,0.006333333333333302
150,8,0.9866666666666667,0.0003333333333332966
150,9,1.0,0.013000000000000012
150,10,1.0,0.013000000000000012
150,11,0.98,0.007000000000000006
150,12,0.9933333333333333,0.006333333333333302
150,13,0.9733333333333334,0.013666666666666605
150,14,0.9866666666666667,0.0003333333333332966
150,15,0.9933333333333333,0.006333333333333302
150,16,0.9866666666666667,0.0003333333333332966
150,17,0.9933333333333333,0.006333333333333302
150,18,0.9933333333333333,0.006333333333333302
150,19,0.9866666666666667,0.0003333333333332966
150,20,0.9933333333333333,0.006333333333333302
150,21,0.9866666666666667,0.0003333333333332966
150,22,0.9933333333333333,0.006333333333333302
150,23,1.0,0.013000000000000012
150,24,1.0,0.013000000000000012
150,25,0.9866666666666667,0.0003333333333332966
150,26,0.9933333333333333,0.006333333333333302
150,27,0.9866666666666667,0.0003333333333332966
150,28,0.9866666666666667,0.0003333333333332966
150,29,0.9933333333333333,0.006333333333333302
200,0,0.98,0.007000000000000006
200,1,0.985,0.0020000000000000018
200,2,1.0,0.013000000000000012
200,3,0.98,0.007000000000000006
200,4,0.995,0.008000000000000007
200,5,0.99,0.0030000000000000027
200,6,0.99,0.0030000000000000027
200,7,0.99,0.0030000000000000027
200,8,0.985,0.0020000000000000018
200,9,0.99,0.0030000000000000027
200,10,0.995,0.008000000000000007
200,11,0.985,0.0020000000000000018
200,12,0.99,0.0030000000000000027
200,13,0.97,0.017000000000000015
200,14,0.985,0.0020000000000000018
200,15,0.99,0.0030000000000000027
200,16,0.99,0.0030000000000000027
200,17,0.99,0.0030000000000000027
200,18,0.995,0.008000000000000007
200,19,0.985,0.0020000000000000018
200,20,0.995,0.008000000000000007
200,21,0.975,0.01200000000000001
200,22,0.995,0.008000000000000007
200,23,0.995,0.008000000000000007
200,24,0.99,0.0030000000000000027
200,25,0.98,0.007000000000000006
200,26,0.99,0.0030000000000000027
200,27,0.99,0.0030000000000000027
200,28,0.985,0.0020000000000000018
200,29,0.99,0.0030000000000000027
300,0,0.98,0.007000000000000006
300,1,0.9866666666666667,0.0003333333333332966
300,2,0.9866666666666667,0.0003333333333332966
300,3,0.98,0.007000000000000006
300,4,0.9866666666666667,0.0003333333333332966
300,5,0.99,0.0030000000000000027
300,6,0.98,0.007000000000000006
300,7,0.99,0.0030000000000000027
300,8,0.9866666666666667,0.0003333333333332966
300,9,0.9866666666666667,0.0003333333333332966
300,10,0.9933333333333333,0.006333333333333302
300,11,0.99,0.0030000000000000027
300,12,0.99,0.0030000000000000027
300,13,0.97,0.017000000000000015
300,14,0.99,0.0030000000000000027
300,15,0.99,0.0030000000000000027
300,16,0.9866666666666667,0.0003333333333332966
300,17,0.9833333333333333,0.003666666666666707
300,18,0.9933333333333333,0.006333333333333302
300,19,0.9866666666666667,0.0003333333333332966
300,20,0.98,0.007000000000000006
300,21,0.98,0.007000000000000006
300,22,0.9933333333333333,0.006333333333333302
300,23,0.99,0.0030000000000000027
