method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss
dense_nvfp4,layer_type:7:gate_proj,layer_type,7,gate_proj,1,1,1.9576829534220836,-0.00020550141829089874,7.0828966360604015,65408,128048.12661743164,1.9578884548403745
dense_nvfp4,layer_type:7:up_proj,layer_type,7,up_proj,1,1,1.957708423151662,-0.00018003168871261188,7.083077037819735,65408,128049.7925415039,1.9578884548403745
dense_nvfp4,layer_type:7:down_proj,layer_type,7,down_proj,1,1,1.9580717702667774,0.00018331542640281917,7.085651121042104,65408,128073.55834960938,1.9578884548403745
dense_nvfp4,layer_type:8:q_proj,layer_type,8,q_proj,1,1,1.9579796506467397,9.11958063651852e-05,7.084998423616695,65408,128067.53298950195,1.9578884548403745
dense_nvfp4,layer_type:8:k_proj,layer_type,8,k_proj,1,1,1.9578709667676115,-1.7488072763027773e-05,7.084228440347542,65408,128060.42419433594,1.9578884548403745
dense_nvfp4,layer_type:8:v_proj,layer_type,8,v_proj,1,1,1.9583244305067566,0.0004359756663820935,7.087441609537858,65408,128090.08435058594,1.9578884548403745
dense_nvfp4,layer_type:8:o_proj,layer_type,8,o_proj,1,1,1.9578428343084227,-4.5620531951895416e-05,7.084029146383386,65408,128058.58410644531,1.9578884548403745
dense_nvfp4,layer_type:8:gate_proj,layer_type,8,gate_proj,1,1,1.9579306045390388,4.214969866422891e-05,7.084650940542366,65408,128064.32498168945,1.9578884548403745
dense_nvfp4,layer_type:8:up_proj,layer_type,8,up_proj,1,1,1.9577207686616482,-0.00016768617872631175,7.083164482557812,65408,128050.6000366211,1.9578884548403745
dense_nvfp4,layer_type:8:down_proj,layer_type,8,down_proj,1,1,1.9580600410991453,0.00017158625877078393,7.08556801273972,65408,128072.79116821289,1.9578884548403745
dense_nvfp4,layer_type:9:q_proj,layer_type,9,q_proj,1,1,1.957898412898562,9.95805818737594e-06,7.084422877677262,65408,128062.21939086914,1.9578884548403745
dense_nvfp4,layer_type:9:k_proj,layer_type,9,k_proj,1,1,1.9577114959985542,-0.0001769588418203405,7.083098803064439,65408,128049.99353027344,1.9578884548403745
dense_nvfp4,layer_type:9:v_proj,layer_type,9,v_proj,1,1,1.9581674904272748,0.00027903558690023367,7.086329393166279,65408,128079.81921386719,1.9578884548403745
dense_nvfp4,layer_type:9:o_proj,layer_type,9,o_proj,1,1,1.9578597951541907,-2.8659686183818422e-05,7.084149298528093,65408,128059.69348144531,1.9578884548403745
dense_nvfp4,layer_type:9:gate_proj,layer_type,9,gate_proj,1,1,1.9581284476352998,0.00023999279492525893,7.086052728482832,65408,128077.26550292969,1.9578884548403745
dense_nvfp4,layer_type:9:up_proj,layer_type,9,up_proj,1,1,1.9579551924464753,6.673760610076407e-05,7.0848251394254955,65408,128065.93322753906,1.9578884548403745
dense_nvfp4,layer_type:9:down_proj,layer_type,9,down_proj,1,1,1.9579708244935874,8.236965321284373e-05,7.084935890611487,65408,128066.95568847656,1.9578884548403745
dense_nvfp4,layer_type:10:q_proj,layer_type,10,q_proj,1,1,1.9581783233090155,0.0002898684686409858,7.086406158950368,65408,128080.5277709961,1.9578884548403745
dense_nvfp4,layer_type:10:k_proj,layer_type,10,k_proj,1,1,1.9576654322226688,-0.00022302261770579257,7.082772536303197,65408,128046.98059082031,1.9578884548403745
dense_nvfp4,layer_type:10:v_proj,layer_type,10,v_proj,1,1,1.9576600199809513,-0.00022843485942325437,7.082734202729936,65408,128046.62658691406,1.9578884548403745
dense_nvfp4,layer_type:10:o_proj,layer_type,10,o_proj,1,1,1.9578678925210016,-2.0562319372974258e-05,7.0842066617157515,65408,128060.22311401367,1.9578884548403745
dense_nvfp4,layer_type:10:gate_proj,layer_type,10,gate_proj,1,1,1.9576854099266217,-0.00020304491375289224,7.082914035249501,65408,128048.28729248047,1.9578884548403745
dense_nvfp4,layer_type:10:up_proj,layer_type,10,up_proj,1,1,1.9580146431223053,0.00012618828193078357,7.085246349588663,65408,128069.82177734375,1.9578884548403745
dense_nvfp4,layer_type:10:down_proj,layer_type,10,down_proj,1,1,1.958114680012145,0.00022622517177040002,7.085955171050779,65408,128076.36499023438,1.9578884548403745
dense_nvfp4,layer_type:11:q_proj,layer_type,11,q_proj,1,1,1.9576716945595938,-0.00021676028078077003,7.082816891150065,65408,128047.3901977539,1.9578884548403745
dense_nvfp4,layer_type:11:k_proj,layer_type,11,k_proj,1,1,1.9577573339533199,-0.00013112088705469205,7.083423485268302,65408,128052.99169921875,1.9578884548403745
dense_nvfp4,layer_type:11:v_proj,layer_type,11,v_proj,1,1,1.9579170580712784,2.8603230903812005e-05,7.0845549691968435,65408,128063.43893432617,1.9578884548403745
dense_nvfp4,layer_type:11:o_proj,layer_type,11,o_proj,1,1,1.9579849588427758,9.650400240124313e-05,7.08503603227706,65408,128067.88018798828,1.9578884548403745
dense_nvfp4,layer_type:11:gate_proj,layer_type,11,gate_proj,1,1,1.9581111275286591,0.00022267268828457532,7.085929998356765,65408,128076.13262939453,1.9578884548403745
dense_nvfp4,layer_type:11:up_proj,layer_type,11,up_proj,1,1,1.9579757281712122,8.72733308376894e-05,7.084970632938271,65408,128067.27642822266,1.9578884548403745
dense_nvfp4,layer_type:11:down_proj,layer_type,11,down_proj,1,1,1.958093841948388,0.00020538710801343285,7.085807515003584,65408,128075.00201416016,1.9578884548403745
dense_nvfp4,layer_type:12:q_proj,layer_type,12,q_proj,1,1,1.9579769496581791,8.849481780459634e-05,7.084979287142845,65408,128067.35632324219,1.9578884548403745
dense_nvfp4,layer_type:12:k_proj,layer_type,12,k_proj,1,1,1.9580642929749013,0.00017583813452670682,7.085598139758618,65408,128073.06927490234,1.9578884548403745
dense_nvfp4,layer_type:12:v_proj,layer_type,12,v_proj,1,1,1.9579081535339355,1.9698693560998848e-05,7.084491884793432,65408,128062.85650634766,1.9578884548403745
dense_nvfp4,layer_type:12:o_proj,layer_type,12,o_proj,1,1,1.9580288754517319,0.00014042061135732808,7.085347189866372,65408,128070.75268554688,1.9578884548403745
dense_nvfp4,layer_type:12:gate_proj,layer_type,12,gate_proj,1,1,1.958092593866785,0.000204139026410477,7.085798671343102,65408,128074.92037963867,1.9578884548403745
dense_nvfp4,layer_type:12:up_proj,layer_type,12,up_proj,1,1,1.9583507909233555,0.00046233608298096307,7.0876284399137575,65408,128091.80853271484,1.9578884548403745
dense_nvfp4,layer_type:12:down_proj,layer_type,12,down_proj,1,1,1.957892623199642,4.16835926753123e-06,7.084381861120516,65408,128061.84069824219,1.9578884548403745
dense_nvfp4,layer_type:13:q_proj,layer_type,13,q_proj,1,1,1.9582446102060218,0.00035615536564725936,7.086875910394582,65408,128084.86346435547,1.9578884548403745
dense_nvfp4,layer_type:13:k_proj,layer_type,13,k_proj,1,1,1.9580287625411719,0.00014030770079731525,7.085346389855898,65408,128070.74530029297,1.9578884548403745
dense_nvfp4,layer_type:13:v_proj,layer_type,13,v_proj,1,1,1.9577411667474796,-0.00014728809289499267,7.083308967028484,65408,128051.93423461914,1.9578884548403745
dense_nvfp4,layer_type:13:o_proj,layer_type,13,o_proj,1,1,1.957784762354513,-0.00010369248586150626,7.083617774913992,65408,128054.78573608398,1.9578884548403745
