batch_size,actual_batch_size,label,group,policy_json,forward_mean_ms,forward_p50_ms,forward_p90_ms,forward_min_ms,forward_max_ms,images_per_sec,runtime_dtype,warmup,iters,backend_counts,effective_dense_runtime,replaced_linear_count,skipped_linear_count
32,32,ours_extreme_fastest_microbench,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_015_extreme_fastest_microbench.json,73.991137,73.988529,74.041470,73.865761,74.061501,432.484229,bfloat16,5,20,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}",bf16_for_unreplaced_layers,191,0
32,32,ours_gate_up_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_004_gate_up_sparse_bf16_64.json,87.696450,87.702145,87.728985,87.601379,87.783775,364.895042,bfloat16,5,20,"{'dense_bf16': 160, 'sparse_bf16': 64}",bf16_for_unreplaced_layers,64,0
32,32,ours_mlp_all_attn_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_008_mlp_all_plus_attn_sparse_bf16_64.json,75.581027,75.567310,75.686791,75.513924,75.706818,423.386680,bfloat16,5,20,"{'dense_bf16': 64, 'sparse_bf16': 160}",bf16_for_unreplaced_layers,160,0
32,32,ours_mlp_sparse_bf16_96,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_006_mlp_sparse_bf16_96.json,79.304419,79.303120,79.324325,79.259041,79.403587,403.508408,bfloat16,5,20,"{'dense_bf16': 128, 'sparse_bf16': 96}",bf16_for_unreplaced_layers,96,0
32,32,uniform_dense_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_000_dense_bf16_reference.json,92.392682,92.380928,92.446407,92.326591,92.592865,346.347777,bfloat16,5,20,{'dense_bf16': 224},bf16_for_unreplaced_layers,0,0
32,32,uniform_dense_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_002_uniform_dense_nvfp4.json,119.333302,119.228161,119.668639,118.312195,121.766144,268.156495,bfloat16,5,20,{'dense_nvfp4': 224},bf16_for_unreplaced_layers,224,0
32,32,uniform_sparse_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,71.703991,71.666065,71.878852,71.607811,72.029793,446.279202,bfloat16,5,20,{'sparse_bf16': 224},bf16_for_unreplaced_layers,224,0
32,32,uniform_sparse_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_004_uniform_sparse_nvfp4.json,117.923932,118.380974,120.031710,112.939423,122.804482,271.361372,bfloat16,5,20,{'sparse_nvfp4': 224},bf16_for_unreplaced_layers,224,0
4,4,dense_default_amp,uncompressed,,38.648285,38.839024,38.909129,36.520767,39.014656,103.497478,float32+amp_bfloat16,5,20,{'dense_default': 224},default_amp,0,0
4,4,ours_extreme_fastest_microbench,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_015_extreme_fastest_microbench.json,45.296517,45.040560,45.224154,44.645889,50.260674,88.307011,bfloat16,5,20,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}",bf16_for_unreplaced_layers,191,0
4,4,ours_gate_up_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_004_gate_up_sparse_bf16_64.json,39.996485,39.681473,41.295602,39.454079,42.232674,100.008789,bfloat16,5,20,"{'dense_bf16': 160, 'sparse_bf16': 64}",bf16_for_unreplaced_layers,64,0
4,4,ours_mlp_all_attn_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_008_mlp_all_plus_attn_sparse_bf16_64.json,43.631888,43.513393,43.828616,43.168449,45.753567,91.676070,bfloat16,5,20,"{'dense_bf16': 64, 'sparse_bf16': 160}",bf16_for_unreplaced_layers,160,0
4,4,ours_mlp_sparse_bf16_96,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_006_mlp_sparse_bf16_96.json,39.602832,39.443632,39.824310,39.203041,41.469250,101.002877,bfloat16,5,20,"{'dense_bf16': 128, 'sparse_bf16': 96}",bf16_for_unreplaced_layers,96,0
4,4,uniform_dense_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_000_dense_bf16_reference.json,26.925611,27.349952,28.062150,25.211777,28.146208,148.557445,bfloat16,5,20,{'dense_bf16': 224},bf16_for_unreplaced_layers,0,0
4,4,uniform_dense_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_002_uniform_dense_nvfp4.json,73.334681,75.761501,76.340206,63.988319,81.558685,54.544452,bfloat16,5,20,{'dense_nvfp4': 224},bf16_for_unreplaced_layers,224,0
4,4,uniform_sparse_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,49.743191,49.486145,49.934798,49.210144,52.571968,80.413016,bfloat16,5,20,{'sparse_bf16': 224},bf16_for_unreplaced_layers,224,0
4,4,uniform_sparse_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_004_uniform_sparse_nvfp4.json,72.385024,71.445183,74.784010,71.024033,83.195808,55.260049,bfloat16,5,20,{'sparse_nvfp4': 224},bf16_for_unreplaced_layers,224,0
8,8,dense_default_amp,uncompressed,,41.996955,41.699713,42.091448,41.539616,46.625729,190.490001,float32+amp_bfloat16,5,20,{'dense_default': 224},default_amp,0,0
8,8,ours_extreme_fastest_microbench,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_015_extreme_fastest_microbench.json,41.017251,40.818111,41.173550,40.464542,45.147007,195.039887,bfloat16,5,20,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}",bf16_for_unreplaced_layers,191,0
8,8,ours_gate_up_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_004_gate_up_sparse_bf16_64.json,36.169670,35.953104,37.088170,35.600864,37.758335,221.179789,bfloat16,5,20,"{'dense_bf16': 160, 'sparse_bf16': 64}",bf16_for_unreplaced_layers,64,0
8,8,ours_mlp_all_attn_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_008_mlp_all_plus_attn_sparse_bf16_64.json,39.280546,39.075361,39.746427,38.759521,41.189857,203.663158,bfloat16,5,20,"{'dense_bf16': 64, 'sparse_bf16': 160}",bf16_for_unreplaced_layers,160,0
8,8,ours_mlp_sparse_bf16_96,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_006_mlp_sparse_bf16_96.json,35.979769,35.941360,36.334168,35.496799,36.374081,222.347173,bfloat16,5,20,"{'dense_bf16': 128, 'sparse_bf16': 96}",bf16_for_unreplaced_layers,96,0
8,8,uniform_dense_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_000_dense_bf16_reference.json,29.424214,29.605360,30.435827,28.337408,30.490976,271.884913,bfloat16,5,20,{'dense_bf16': 224},bf16_for_unreplaced_layers,0,0
8,8,uniform_dense_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_002_uniform_dense_nvfp4.json,75.497227,75.196671,80.029214,67.788765,80.928291,105.964157,bfloat16,5,20,{'dense_nvfp4': 224},bf16_for_unreplaced_layers,224,0
8,8,uniform_sparse_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,39.148714,38.155617,42.103776,37.844002,46.244705,204.348987,bfloat16,5,20,{'sparse_bf16': 224},bf16_for_unreplaced_layers,224,0
8,8,uniform_sparse_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_004_uniform_sparse_nvfp4.json,84.223614,85.775360,88.957337,72.861443,91.285728,94.985238,bfloat16,5,20,{'sparse_nvfp4': 224},bf16_for_unreplaced_layers,224,0
