method,layer,modules,mean_output_rel_mse,median_output_rel_mse,mean_quality_cost,median_quality_cost,sum_quality_cost
dense_nvfp4,30,7,0.006805056585023873,0.006027447541586463,6.005912834481141e-05,5.2910369138905864e-05,0.0004204138984136799
dense_nvfp4,31,7,0.00502814554521791,0.004644442777747289,4.568613656799374e-05,4.437807800739813e-05,0.00031980295597595616
sparse_bf16,0,7,0.011663524986506675,0.0033480726696298864,6.025130980302219e-05,2.1117013056386377e-05,0.0004217591686211553
sparse_bf16,1,7,0.022797123645527866,0.022111805829669304,0.0001150727831929557,0.00011870707229173365,0.0008055094823506899
sparse_bf16,2,7,0.048432898598513484,0.0460066223845176,0.00022252985649989904,0.0002177497570105634,0.0015577089954992933
sparse_bf16,3,7,0.058525099142506455,0.06002194798847069,0.00027081204869000585,0.0003146959580541755,0.001895684340830041
sparse_bf16,4,7,0.04893824793649104,0.05973112486568605,0.00023247238056587737,0.00030223643127115187,0.0016273066639611415
sparse_bf16,5,7,0.05500667285202408,0.056703026365038336,0.0002669523384172389,0.0002970827956895178,0.0018686663689206724
sparse_bf16,6,7,0.05491752951677371,0.0576723488344401,0.00026988722588474056,0.0002695908618479703,0.001889210581193184
sparse_bf16,7,7,0.05778794026542552,0.06369321739421106,0.00027520478101306404,0.000333674328755943,0.0019264334670914484
sparse_bf16,8,7,0.05827914362000487,0.06601685133098502,0.00028483662413254324,0.0003320399799053379,0.0019938563689278024
sparse_bf16,9,7,0.05963147313184389,0.0694255283116222,0.0002844112149152691,0.00032540883544936297,0.0019908785044068836
sparse_bf16,10,7,0.059082677796838574,0.06608211950315872,0.00029215303297215736,0.0003236626519867465,0.0020450712308051015
sparse_bf16,11,7,0.06352305319019134,0.06616331985528694,0.0002976434670495296,0.000322413395386906,0.0020835042693467067
sparse_bf16,12,7,0.0647698524476256,0.07153152104119063,0.00030246101555898906,0.0003152461937717265,0.002117227108912923
sparse_bf16,13,7,0.062349639589632126,0.06792245671377245,0.0002959299796248872,0.00033793662881910795,0.0020715098573742103
sparse_bf16,14,7,0.06611357053604021,0.07053042889670239,0.00031226281690268276,0.00033053377759178007,0.002185839718318779
sparse_bf16,15,7,0.06154017159917208,0.06866563807912993,0.0003057416892293063,0.00032246166008866755,0.0021401918246051438
sparse_bf16,16,7,0.05686786072782807,0.06896216605816692,0.0002862676590128518,0.0003519170665754818,0.0020038736130899627
sparse_bf16,17,7,0.06806159395063861,0.07294182679375026,0.00034936308687919215,0.00037298903206742934,0.002445541608154345
sparse_bf16,18,7,0.06474789869441447,0.06964192957302408,0.00032330030176586,0.0003638922133492809,0.00226310211236102
sparse_bf16,19,7,0.06030296938631404,0.07543115537946411,0.00029634694596683607,0.00035685924972123095,0.0020744286217678526
sparse_bf16,20,7,0.06686692143849629,0.07440017629396153,0.00030563444308402595,0.00034355766599474116,0.0021394411015881816
sparse_bf16,21,7,0.0669246192972611,0.0756249371090309,0.0003210657324470006,0.0003655411772319797,0.002247460127129004
sparse_bf16,22,7,0.07517390582230302,0.08232485157685232,0.00034681160759418616,0.0003871476925979234,0.002427681253159303
sparse_bf16,23,7,0.07388519457407125,0.08364789103170178,0.00033361361572174764,0.0003672509079335515,0.0023352953100522337
sparse_bf16,24,7,0.06881890842865435,0.08372153605975174,0.0003007040584761123,0.0003674250015123633,0.0021049284093327863
sparse_bf16,25,7,0.07214569083592944,0.07749810052131703,0.00033142777019097135,0.0003484985019542069,0.0023199943913367995
sparse_bf16,26,7,0.06829395403287757,0.07070209692124699,0.0003217401477520989,0.0003297734639490255,0.0022521810342646924
sparse_bf16,27,7,0.06732748322244023,0.06453405274415724,0.00033012959647091755,0.0003083089746948023,0.002310907175296423
sparse_bf16,28,7,0.06237451841233985,0.059878257073684764,0.00031608232988977655,0.0002928386626518117,0.0022125763092284358
sparse_bf16,29,7,0.055589244890067044,0.051732888380656636,0.0002943733747376379,0.00025109536545277184,0.002060613623163465
sparse_bf16,30,7,0.04167760952362029,0.03717884742628701,0.00022751901198737678,0.00023899361038575773,0.0015926330839116374
sparse_bf16,31,7,0.02958583380755451,0.026823755736153383,0.0001764905372737941,0.0001901347494802674,0.0012354337609165587
sparse_nvfp4,0,7,0.02739842494310186,0.015161479091763472,0.0007912283754055466,0.0007033602534061866,0.0055385986278388265
sparse_nvfp4,1,7,0.04911153646588489,0.048912412566041834,0.002909919842859493,0.0017156969711036893,0.020369438900016454
sparse_nvfp4,2,7,0.08940313681832977,0.08933909073772434,0.006923722343649355,0.0038994101836233933,0.048466056405545486
sparse_nvfp4,3,7,0.10730829808305682,0.11152639388493044,0.0026741281045741657,0.0016765934482221175,0.01871889673201916
sparse_nvfp4,4,7,0.08991356853157567,0.11017486698023735,0.00412441998803611,0.002246855501515834,0.028870939916252773
sparse_nvfp4,5,7,0.1014045947693795,0.10729185564093971,0.0025269678578034864,0.0017325895947997573,0.017688775004624405
sparse_nvfp4,6,7,0.10143707855718054,0.11269251280063625,0.0033576969004737835,0.0022011725115311754,0.023503878303316485
sparse_nvfp4,7,7,0.10564783296573127,0.12048147958490146,0.004876527079828276,0.0038603928439606473,0.034135689558797935
sparse_nvfp4,8,7,0.1068736384206804,0.1238831082949666,0.003056857715249726,0.002547082275481515,0.021398004006748083
sparse_nvfp4,9,7,0.1087118939816972,0.12965987323781186,0.005068954624793447,0.004237193859852564,0.03548268237355413
sparse_nvfp4,10,7,0.1090691043005563,0.12478890303748696,0.0030801796063276918,0.0024733638388636766,0.021561257244293842
sparse_nvfp4,11,7,0.11521411185727921,0.12521913758263656,0.005812068345737024,0.004762780086081701,0.04068447842015917
sparse_nvfp4,12,7,0.11815056999847108,0.1347576191327554,0.003730861592859313,0.0031605307050804844,0.026116031150015193
sparse_nvfp4,13,7,0.11315764135564771,0.12904865138318633,0.0046552136472779535,0.0036865555867320217,0.032586495530945676
sparse_nvfp4,14,7,0.11957675518548008,0.13221157606885828,0.003822246921200394,0.0032028323155677426,0.02675572844840276
sparse_nvfp4,15,7,0.11267458276194013,0.12273886829235692,0.00405883294238942,0.003164298788949883,0.028411830596725942
sparse_nvfp4,16,7,0.10367635456285357,0.12350990500434166,0.00261609658512554,0.0014648547137939398,0.01831267609587878
sparse_nvfp4,17,7,0.12286454416544504,0.13341356007959673,0.003805349602135712,0.003154624802190134,0.026637447214949983
sparse_nvfp4,18,7,0.11776980948997,0.12822374043681042,0.002077269967667038,0.0013353158831313314,0.014540889773669267
sparse_nvfp4,19,7,0.10937685838251394,0.13457350007823624,0.0028320061987782085,0.0016872425546982696,0.01982404339144746
sparse_nvfp4,20,7,0.1195614980946466,0.13099567068958384,0.004799353586704171,0.00345433791808928,0.033595475106929194
sparse_nvfp4,21,7,0.12029218985080374,0.13458659643464366,0.003129865084594008,0.0019117996342258884,0.021909055592158055
sparse_nvfp4,22,7,0.12871960693558965,0.1498127967893648,0.011569552670280482,0.008449084110367211,0.08098686869196338
sparse_nvfp4,23,7,0.13184264319459973,0.152566027574813,0.003848588496322553,0.0027163212222027643,0.02694011947425787
sparse_nvfp4,24,7,0.12459264396852161,0.1484143182646728,0.004493434977369874,0.0025676361167095434,0.03145404484158912
sparse_nvfp4,25,7,0.1293221617969118,0.13694914691248686,0.013233874031827325,0.007774063038929654,0.09263711822279128
sparse_nvfp4,26,7,0.1196110780789636,0.12710090560853773,0.0036336518427222235,0.0017739233247043022,0.025435562899055564
sparse_nvfp4,27,7,0.12049468296227628,0.11584025663865724,0.003183075079811532,0.0016555630309476991,0.022281525558680727
sparse_nvfp4,28,7,0.11304780829016063,0.10767697975103152,0.008542772999548824,0.004627816715405218,0.059799410996841766
sparse_nvfp4,29,7,0.10319897828267993,0.0944111458123597,0.007565712763431783,0.004025674293902977,0.052959989344022476
sparse_nvfp4,30,7,0.07791494101258582,0.0696012624488843,0.0037817977360929365,0.0016671795178348375,0.026472584152650556
sparse_nvfp4,31,7,0.06029674973094116,0.05569836259632294,0.003034124538081411,0.0016943104743398795,0.02123887176656988
