candidate,prefill_backend,decode_backend,supported,reason,prefill_ms,prefill_first_ms,prefill_steady_ms,decode_ms,decode_first_ms,decode_steady_ms,total_ms,weighted_total_ms,online_conversion_ms,model,scenario,linear_group,n,k,count
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,6.524281644821167,6.505343914031982,6.524281644821167,0.04544468760286691,0.06540799885988235,0.04536640010774136,18.158121671155094,580.4196661848575,0.0,Llama-2-7B,normal_02,mlp.gate_proj,11008,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.860048031806946,5.012959957122803,2.860048031806946,0.05666387416567886,1.193727970123291,0.05220479927957058,17.365999818220736,624.6051757931709,0.0,Llama-2-7B,normal_02,mlp.gate_proj,11008,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,6.181673622131347,6.647808074951172,6.181673622131347,0.08050349951372482,0.11587200313806534,0.08036479949951172,26.790569497644903,856.6636350646615,0.0,Llama-2-7B,normal_02,mlp.up_proj,11008,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,3.27391357421875,41.39868927001953,3.27391357421875,0.28504481019626837,38.395103454589844,0.13559359982609748,76.24538498446346,1291.9322897009552,0.0,Llama-2-7B,normal_02,mlp.up_proj,11008,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,2.801385593414307,2.9872961044311523,2.801385593414307,0.2005289354128763,0.23014399409294128,0.20041279792785643,54.136793059110644,1731.6416213214397,0.0,Llama-2-7B,normal_02,mlp.up_proj,11008,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,2.3843583822250367,2.527616024017334,2.3843583822250367,0.25780693808337674,0.6328960061073303,0.2563360005617142,68.38293453156948,2176.7238024801018,0.0,Llama-2-7B,normal_02,mlp.up_proj,11008,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,6.518454456329346,6.500927925109863,6.518454456329346,0.04324962494865758,0.05753599852323532,0.04319359995424747,17.590358443185686,562.4293292950839,0.0,Llama-2-7B,normal_02,mlp.up_proj,11008,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.814575982093811,3.024064064025879,2.814575982093811,0.057229375292081386,1.1704000234603882,0.05286400020122528,17.465296056866645,565.5930924415588,0.0,Llama-2-7B,normal_02,mlp.up_proj,11008,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,2.447088027000427,2.8805758953094482,2.447088027000427,0.047073499736143276,0.08336000144481659,0.046931199729442596,14.497903959453106,463.2371217176318,0.0,Llama-2-7B,normal_02,self_attn.k_proj,4096,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,1.3093120098114013,39.72028732299805,1.3093120098114013,0.284290496390895,37.974334716796875,0.13648640140891075,74.08767908588052,1236.2434082843363,0.0,Llama-2-7B,normal_02,self_attn.k_proj,4096,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,1.998028779029846,2.258431911468506,1.998028779029846,0.1924196864129044,0.21702399849891663,0.1923231989145279,51.257468500733374,1639.7336703687909,0.0,Llama-2-7B,normal_02,self_attn.k_proj,4096,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.8381888031959535,2.1615359783172607,1.8381888031959535,0.2427235009672586,0.32521599531173706,0.2424000009894371,63.97540505081415,2044.9690129771827,0.0,Llama-2-7B,normal_02,self_attn.k_proj,4096,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,2.395843195915222,2.668735980987549,2.395843195915222,0.04143256216775626,0.06319999694824219,0.04134719967842102,13.002579110860825,415.6779876172543,0.0,Llama-2-7B,normal_02,self_attn.k_proj,4096,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.002550411224365,2.2806079387664795,2.002550411224365,0.05479456244938774,1.1435840129852295,0.05052479989826679,16.029958398267627,521.8565096259117,0.0,Llama-2-7B,normal_02,self_attn.k_proj,4096,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,2.4464256048202513,2.827807903289795,2.4464256048202513,0.04704368750390131,0.06675200164318085,0.04696639999747276,14.489609605818988,463.4355360336602,0.0,Llama-2-7B,normal_02,self_attn.o_proj,4096,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,1.3106688022613526,39.58777618408203,1.3106688022613526,0.28423150088929106,37.931488037109375,0.1365952007472515,74.07393302991986,1237.0012864120304,0.0,Llama-2-7B,normal_02,self_attn.o_proj,4096,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,1.997043216228485,2.287168025970459,1.997043216228485,0.19421399995917454,0.21695999801158905,0.19412479996681214,51.71582720577717,1654.4887042552234,0.0,Llama-2-7B,normal_02,self_attn.o_proj,4096,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.8392767906188965,2.1326398849487305,1.8392767906188965,0.24473730972385965,0.34217599034309387,0.24435519725084304,64.49202807992697,2061.005817066133,0.0,Llama-2-7B,normal_02,self_attn.o_proj,4096,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,2.3964191913604735,2.679903984069824,2.3964191913604735,0.04140106240083696,0.06003199890255928,0.04132799990475178,12.995091165974737,415.54657813496885,0.0,Llama-2-7B,normal_02,self_attn.o_proj,4096,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.0044960141181947,2.288831949234009,2.0044960141181947,0.055385999505233485,1.1113920211791992,0.05124479942023754,16.18331188745797,526.964730322361,0.0,Llama-2-7B,normal_02,self_attn.o_proj,4096,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,2.444931221008301,2.8006720542907715,2.444931221008301,0.047074874470126815,0.06739199906587601,0.046995199471712115,14.496099085360765,463.5986107774079,0.0,Llama-2-7B,normal_02,self_attn.q_proj,4096,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,1.3096383929252624,39.51833724975586,1.3096383929252624,0.284817814885173,37.78374481201172,0.13776319921016694,74.22299900352955,1246.3192369729281,0.0,Llama-2-7B,normal_02,self_attn.q_proj,4096,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,1.9976511955261231,2.2723519802093506,1.9976511955261231,0.19377681295736693,0.21356800198554993,0.19369920045137407,51.60451531261206,1651.0032579407095,0.0,Llama-2-7B,normal_02,self_attn.q_proj,4096,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.8402368068695067,2.150399923324585,1.8402368068695067,0.23956299948622473,0.3141759932041168,0.23927039951086043,63.168364675343035,2019.3757593229413,0.0,Llama-2-7B,normal_02,self_attn.q_proj,4096,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,2.397107172012329,2.660032033920288,2.397107172012329,0.04158268784522079,0.05430399999022484,0.04153280034661293,13.042275260388852,417.2198260053992,0.0,Llama-2-7B,normal_02,self_attn.q_proj,4096,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.003807985782623,2.2735040187835693,2.003807985782623,0.05521881249296712,1.1216319799423218,0.051036800071597097,16.139823983982204,525.1046405434608,0.0,Llama-2-7B,normal_02,self_attn.q_proj,4096,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,2.445456027984619,2.8096320629119873,2.445456027984619,0.04742975028784713,0.0684799998998642,0.04734720028936863,14.587472101673484,466.5081665005535,0.0,Llama-2-7B,normal_02,self_attn.v_proj,4096,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,1.3093184113502503,39.400001525878906,1.3093184113502503,0.28279256427777,37.92950439453125,0.13515840023756026,73.70421486645937,1225.000833018124,0.0,Llama-2-7B,normal_02,self_attn.v_proj,4096,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,1.9994208097457886,2.2711679935455322,1.9994208097457886,0.1923291888087988,0.21344000101089478,0.19224640130996704,51.235693144798276,1639.1569262266157,0.0,Llama-2-7B,normal_02,self_attn.v_proj,4096,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.838812804222107,2.142496109008789,1.838812804222107,0.24123143570614047,0.3128960132598877,0.24095039814710617,63.59406034499407,2033.0833002761005,0.0,Llama-2-7B,normal_02,self_attn.v_proj,4096,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,2.3970816135406494,2.671072006225586,2.3970816135406494,0.041214874414436053,0.05398400127887726,0.04116479940712452,12.948089463636279,414.2154579710215,0.0,Llama-2-7B,normal_02,self_attn.v_proj,4096,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.019318389892578,2.292288064956665,2.019318389892578,0.06211918763438007,1.208799958229065,0.05762240029871464,17.921830424293876,582.2336031794548,0.0,Llama-2-7B,normal_02,self_attn.v_proj,4096,4096,32
