n,seed,accuracy,abs_error
750,11,0.9893333333333333,0.0029333333333332323
750,12,0.9853333333333333,0.0010666666666667712
750,13,0.9826666666666667,0.0037333333333333663
750,14,0.9853333333333333,0.0010666666666667712
750,15,0.9853333333333333,0.0010666666666667712
750,16,0.9893333333333333,0.0029333333333332323
750,17,0.9853333333333333,0.0010666666666667712
750,18,0.988,0.0015999999999999348
750,19,0.984,0.0024000000000000687
750,20,0.9813333333333333,0.005066666666666775
750,21,0.984,0.0024000000000000687
750,22,0.9866666666666667,0.0002666666666666373
750,23,0.9906666666666667,0.004266666666666641
750,24,0.9853333333333333,0.0010666666666667712
750,25,0.9826666666666667,0.0037333333333333663
750,26,0.9813333333333333,0.005066666666666775
750,27,0.9893333333333333,0.0029333333333332323
750,28,0.9906666666666667,0.004266666666666641
750,29,0.9853333333333333,0.0010666666666667712
1000,0,0.986,0.00040000000000006697
1000,1,0.989,0.0025999999999999357
1000,2,0.988,0.0015999999999999348
1000,3,0.985,0.0014000000000000679
1000,4,0.991,0.0045999999999999375
1000,5,0.981,0.005400000000000071
1000,6,0.986,0.00040000000000006697
1000,7,0.989,0.0025999999999999357
1000,8,0.989,0.0025999999999999357
1000,9,0.985,0.0014000000000000679
1000,10,0.983,0.0034000000000000696
1000,11,0.982,0.0044000000000000705
1000,12,0.985,0.0014000000000000679
1000,13,0.984,0.0024000000000000687
1000,14,0.987,0.0005999999999999339
1000,15,0.985,0.0014000000000000679
1000,16,0.989,0.0025999999999999357
1000,17,0.987,0.0005999999999999339
1000,18,0.988,0.0015999999999999348
1000,19,0.981,0.005400000000000071
1000,20,0.983,0.0034000000000000696
1000,21,0.985,0.0014000000000000679
1000,22,0.986,0.00040000000000006697
1000,23,0.988,0.0015999999999999348
1000,24,0.988,0.0015999999999999348
1000,25,0.985,0.0014000000000000679
1000,26,0.979,0.007400000000000073
1000,27,0.987,0.0005999999999999339
1000,28,0.992,0.005599999999999938
1000,29,0.986,0.00040000000000006697
1500,0,0.9853333333333333,0.0010666666666667712
1500,1,0.984,0.0024000000000000687
1500,2,0.986,0.00040000000000006697
1500,3,0.9873333333333333,0.0009333333333332305
1500,4,0.9853333333333333,0.0010666666666667712
1500,5,0.9893333333333333,0.0029333333333332323
1500,6,0.986,0.00040000000000006697
1500,7,0.9873333333333333,0.0009333333333332305
1500,8,0.99,0.0035999999999999366
1500,9,0.986,0.00040000000000006697
1500,10,0.984,0.0024000000000000687
1500,11,0.9853333333333333,0.0010666666666667712
1500,12,0.986,0.00040000000000006697
1500,13,0.9866666666666667,0.0002666666666666373
1500,14,0.9853333333333333,0.0010666666666667712
1500,15,0.982,0.0044000000000000705
1500,16,0.986,0.00040000000000006697
1500,17,0.9866666666666667,0.0002666666666666373
1500,18,0.9886666666666667,0.002266666666666639
1500,19,0.9846666666666667,0.0017333333333333645
1500,20,0.9846666666666667,0.0017333333333333645
1500,21,0.9846666666666667,0.0017333333333333645
1500,22,0.988,0.0015999999999999348
1500,23,0.9866666666666667,0.0002666666666666373
1500,24,0.9853333333333333,0.0010666666666667712
1500,25,0.9866666666666667,0.0002666666666666373
1500,26,0.9826666666666667,0.0037333333333333663
1500,27,0.9906666666666667,0.004266666666666641
1500,28,0.9913333333333333,0.004933333333333234
1500,29,0.9846666666666667,0.0017333333333333645
2000,0,0.9865,9.999999999998899e-05
2000,1,0.9865,9.999999999998899e-05
2000,2,0.985,0.0014000000000000679
2000,3,0.986,0.00040000000000006697
2000,4,0.9845,0.0019000000000000128
2000,5,0.988,0.0015999999999999348
2000,6,0.9865,9.999999999998899e-05
2000,7,0.986,0.00040000000000006697
2000,8,0.9895,0.0030999999999999917
2000,9,0.983,0.0034000000000000696
2000,10,0.987,0.0005999999999999339
2000,11,0.984,0.0024000000000000687
2000,12,0.986,0.00040000000000006697
2000,13,0.9885,0.0020999999999999908
2000,14,0.9865,9.999999999998899e-05
2000,15,0.9825,0.0039000000000000146
2000,16,0.9875,0.0010999999999999899
2000,17,0.9875,0.0010999999999999899
2000,18,0.986,0.00040000000000006697
2000,19,0.9865,9.999999999998899e-05
2000,20,0.9855,0.0009000000000000119
2000,21,0.983,0.0034000000000000696
2000,22,0.9865,9.999999999998899e-05
2000,23,0.986,0.00040000000000006697
2000,24,0.9855,0.0009000000000000119
2000,25,0.988,0.0015999999999999348
2000,26,0.9835,0.0029000000000000137
2000,27,0.99,0.0035999999999999366
2000,28,0.988,0.0015999999999999348
2000,29,0.9845,0.0019000000000000128
3000,0,0.985,0.0014000000000000679
3000,1,0.9866666666666667,0.0002666666666666373
3000,2,0.9853333333333333,0.0010666666666667712
3000,3,0.9863333333333333,6.666666666677035e-05
3000,4,0.9856666666666667,0.0007333333333333636
3000,5,0.9866666666666667,0.0002666666666666373
3000,6,0.9853333333333333,0.0010666666666667712
3000,7,0.9866666666666667,0.0002666666666666373
3000,8,0.986,0.00040000000000006697
3000,9,0.9843333333333333,0.002066666666666772
3000,10,0.9856666666666667,0.0007333333333333636
3000,11,0.985,0.0014000000000000679
3000,12,0.9866666666666667,0.0002666666666666373
3000,13,0.9876666666666667,0.0012666666666666382
