policy_id,split,policy_kind,sample_count,token_count,avg_nll,target_delta_nll,elapsed_seconds,decode_transitions
p58,holdout,balanced_mixed,100,6400,2.0808007490276648,0.18417500906892514,71.56762518920004,13
p59,holdout,balanced_mixed,100,6400,1.9377318555782608,0.041106115619521155,52.640659330412745,13
p60,holdout,balanced_mixed,100,6400,2.1555256587366145,0.2588999187778749,52.8760081846267,13
p61,holdout,balanced_mixed,100,6400,2.118928007609596,0.22230226765085637,52.89699440449476,13
p62,holdout,balanced_mixed,100,6400,1.9432082715474202,0.04658253158868053,48.91259274072945,13
p63,holdout,balanced_mixed,100,6400,2.2531300270413666,0.35650428708262694,61.14782473258674,13
p64,holdout,balanced_mixed,100,6400,2.079857673883115,0.18323193392437553,49.41520920395851,13
p65,holdout,balanced_mixed,100,6400,1.9512260995226833,0.05460035956394371,48.53386616334319,13
p66,holdout,balanced_mixed,100,6400,2.0790603887765555,0.1824346488178159,53.92758606746793,13
p67,holdout,balanced_mixed,100,6400,2.0795589962067416,0.18293325624800194,64.45312562212348,13
p68,holdout,balanced_mixed,100,6400,2.0156639257386617,0.11903818577992209,49.13890350423753,13
p69,holdout,balanced_mixed,100,6400,1.918027241527823,0.02140150156908338,46.924007723107934,13
p70,holdout,balanced_mixed,100,6400,2.075835443055614,0.17920970309687445,63.52120613865554,13
p71,holdout,balanced_mixed,100,6400,2.1742492055935223,0.2776234656347827,54.18140881694853,13
