model,batch_size,input_tokens,output_tokens,scenario,prefill_ms,decode_per_token_ms,first_decode_ms,prefill_all_linear_pct,decode_all_linear_pct,prefill_other_pct,decode_other_pct,status
4b,4,4096,256,prefill_decode,1444.044775390625,27.993567429336846,28.183929634094238,N/A,N/A,N/A,N/A,
4b,4,8192,1,prefill_only,2973.38671875,0.0,28.277321434020998,39.9,26.6,0.7,12.9,
4b,4,8192,32,prefill_decode,2974.897119140625,27.90312213897705,28.183612632751466,39.4,27.2,0.7,13.3,
4b,4,8192,128,prefill_decode,2972.1396484375,27.895232552055298,28.28585605621338,N/A,N/A,N/A,N/A,
4b,4,8192,256,prefill_decode,2970.154833984375,27.87940901139203,28.36373119354248,N/A,N/A,N/A,N/A,
4b,16,256,1,prefill_only,328.20130920410156,0.0,27.89757137298584,46.9,20.9,0.8,10.2,
4b,16,256,32,prefill_decode,328.1524322509766,27.68762970585977,27.84004154205322,46.7,87.2,1.2,2.4,
4b,16,256,128,prefill_decode,328.1829895019531,27.709017173887236,27.823990249633788,N/A,N/A,N/A,N/A,
4b,16,256,256,prefill_decode,328.1596984863281,27.693848103541953,27.88819522857666,N/A,N/A,N/A,N/A,
4b,16,1024,1,prefill_only,1412.15966796875,0.0,28.000370979309082,41.9,27.8,0.7,13.8,
4b,16,1024,32,prefill_decode,1412.6104614257813,27.755854145173103,28.105692863464355,41.8,28.3,0.7,14.4,
4b,16,1024,128,prefill_decode,1412.3041870117188,27.743389390960452,28.029580879211426,N/A,N/A,N/A,N/A,
4b,16,1024,256,prefill_decode,1411.91318359375,27.815395991755466,28.038441848754882,N/A,N/A,N/A,N/A,
4b,16,4096,1,prefill_only,,,,N/A,N/A,N/A,N/A,OOM
4b,16,4096,32,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
4b,16,4096,128,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
4b,16,4096,256,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
4b,16,8192,1,prefill_only,,,,N/A,N/A,N/A,N/A,OOM
4b,16,8192,32,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
4b,16,8192,128,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
4b,16,8192,256,prefill_decode,,,,N/A,N/A,N/A,N/A,OOM
9b,1,256,1,prefill_only,162.04788208007812,0.0,34.84767646789551,15.4,28.7,1.5,6.9,
9b,1,256,32,prefill_decode,140.69655151367186,30.115950965881346,30.199250984191895,16.7,31.0,1.5,6.3,
9b,1,256,128,prefill_decode,131.3797866821289,28.084781323830914,28.135718727111815,N/A,N/A,N/A,N/A,
9b,1,256,256,prefill_decode,130.87295379638672,28.00487896788354,28.0379581451416,N/A,N/A,N/A,N/A,
9b,1,1024,1,prefill_only,188.13482971191405,0.0,28.032368087768553,34.0,28.5,0.8,9.2,
9b,1,1024,32,prefill_decode,188.32412109375,27.861147591375534,28.043657493591308,42.8,24.2,0.9,5.8,
9b,1,1024,128,prefill_decode,188.45382080078124,27.820388978672778,28.031683349609374,N/A,N/A,N/A,N/A,
9b,1,1024,256,prefill_decode,188.49513092041016,27.816396045310825,27.970268630981444,N/A,N/A,N/A,N/A,
9b,1,4096,1,prefill_only,573.6025329589844,0.0,28.164665603637694,51.8,46.0,0.6,8.1,
9b,1,4096,32,prefill_decode,573.5131103515625,27.899479256906815,28.122134399414062,54.1,30.7,0.7,10.4,
9b,1,4096,128,prefill_decode,573.531640625,27.92658715435839,28.177862548828124,N/A,N/A,N/A,N/A,
9b,1,4096,256,prefill_decode,573.6462158203125,27.902405845043706,28.094694328308105,N/A,N/A,N/A,N/A,
9b,1,8192,1,prefill_only,1219.6126831054687,0.0,28.159647941589355,46.7,28.3,0.6,11.8,
9b,1,8192,32,prefill_decode,1220.0835205078124,27.98884471154982,28.16021728515625,47.3,29.3,0.6,11.7,
9b,1,8192,128,prefill_decode,1219.9028198242188,27.936638770516463,28.153219413757324,N/A,N/A,N/A,N/A,
