n,seed,accuracy,abs_error
300,24,0.9866666666666667,0.0014666666666667272
300,25,0.9833333333333333,0.0018666666666666831
300,26,0.9833333333333333,0.0018666666666666831
300,27,0.99,0.0048000000000000265
300,28,0.99,0.0048000000000000265
300,29,0.9866666666666667,0.0014666666666667272
500,0,0.984,0.0011999999999999789
500,1,0.986,0.0008000000000000229
500,2,0.986,0.0008000000000000229
500,3,0.986,0.0008000000000000229
500,4,0.988,0.0028000000000000247
500,5,0.986,0.0008000000000000229
500,6,0.98,0.005199999999999982
500,7,0.988,0.0028000000000000247
500,8,0.984,0.0011999999999999789
500,9,0.992,0.006800000000000028
500,10,0.99,0.0048000000000000265
500,11,0.99,0.0048000000000000265
500,12,0.992,0.006800000000000028
500,13,0.976,0.009199999999999986
500,14,0.984,0.0011999999999999789
500,15,0.99,0.0048000000000000265
500,16,0.988,0.0028000000000000247
500,17,0.988,0.0028000000000000247
500,18,0.99,0.0048000000000000265
500,19,0.982,0.0031999999999999806
500,20,0.982,0.0031999999999999806
500,21,0.986,0.0008000000000000229
500,22,0.98,0.005199999999999982
500,23,0.99,0.0048000000000000265
500,24,0.98,0.005199999999999982
500,25,0.982,0.0031999999999999806
500,26,0.984,0.0011999999999999789
500,27,0.99,0.0048000000000000265
500,28,0.992,0.006800000000000028
500,29,0.99,0.0048000000000000265
750,0,0.98,0.005199999999999982
750,1,0.9853333333333333,0.00013333333333331865
750,2,0.9826666666666667,0.0025333333333332764
750,3,0.988,0.0028000000000000247
750,4,0.9906666666666667,0.005466666666666731
750,5,0.9866666666666667,0.0014666666666667272
750,6,0.9866666666666667,0.0014666666666667272
750,7,0.9853333333333333,0.00013333333333331865
750,8,0.9853333333333333,0.00013333333333331865
750,9,0.9893333333333333,0.004133333333333322
750,10,0.984,0.0011999999999999789
750,11,0.9866666666666667,0.0014666666666667272
750,12,0.9906666666666667,0.005466666666666731
750,13,0.9813333333333333,0.003866666666666685
750,14,0.9826666666666667,0.0025333333333332764
750,15,0.984,0.0011999999999999789
750,16,0.9866666666666667,0.0014666666666667272
750,17,0.988,0.0028000000000000247
750,18,0.988,0.0028000000000000247
750,19,0.9813333333333333,0.003866666666666685
750,20,0.9813333333333333,0.003866666666666685
750,21,0.984,0.0011999999999999789
750,22,0.984,0.0011999999999999789
750,23,0.9906666666666667,0.005466666666666731
750,24,0.9826666666666667,0.0025333333333332764
750,25,0.984,0.0011999999999999789
750,26,0.984,0.0011999999999999789
750,27,0.9866666666666667,0.0014666666666667272
750,28,0.9893333333333333,0.004133333333333322
750,29,0.9893333333333333,0.004133333333333322
1000,0,0.982,0.0031999999999999806
1000,1,0.984,0.0011999999999999789
1000,2,0.982,0.0031999999999999806
1000,3,0.988,0.0028000000000000247
1000,4,0.991,0.005800000000000027
1000,5,0.982,0.0031999999999999806
1000,6,0.986,0.0008000000000000229
1000,7,0.987,0.0018000000000000238
1000,8,0.987,0.0018000000000000238
1000,9,0.985,0.00019999999999997797
1000,10,0.982,0.0031999999999999806
1000,11,0.982,0.0031999999999999806
1000,12,0.988,0.0028000000000000247
1000,13,0.982,0.0031999999999999806
1000,14,0.983,0.0021999999999999797
1000,15,0.985,0.00019999999999997797
1000,16,0.986,0.0008000000000000229
1000,17,0.989,0.0038000000000000256
1000,18,0.988,0.0028000000000000247
1000,19,0.983,0.0021999999999999797
1000,20,0.982,0.0031999999999999806
1000,21,0.984,0.0011999999999999789
1000,22,0.984,0.0011999999999999789
1000,23,0.985,0.00019999999999997797
1000,24,0.983,0.0021999999999999797
1000,25,0.983,0.0021999999999999797
1000,26,0.98,0.005199999999999982
1000,27,0.986,0.0008000000000000229
1000,28,0.991,0.005800000000000027
1000,29,0.988,0.0028000000000000247
1500,0,0.9833333333333333,0.0018666666666666831
1500,1,0.9813333333333333,0.003866666666666685
1500,2,0.9826666666666667,0.0025333333333332764
1500,3,0.988,0.0028000000000000247
1500,4,0.9846666666666667,0.0005333333333332746
1500,5,0.988,0.0028000000000000247
1500,6,0.986,0.0008000000000000229
1500,7,0.986,0.0008000000000000229
1500,8,0.9866666666666667,0.0014666666666667272
1500,9,0.9866666666666667,0.0014666666666667272
1500,10,0.9826666666666667,0.0025333333333332764
1500,11,0.9853333333333333,0.00013333333333331865
1500,12,0.9886666666666667,0.003466666666666729
1500,13,0.9813333333333333,0.003866666666666685
1500,14,0.982,0.0031999999999999806
1500,15,0.9833333333333333,0.0018666666666666831
1500,16,0.9833333333333333,0.0018666666666666831
1500,17,0.9873333333333333,0.0021333333333333204
1500,18,0.986,0.0008000000000000229
1500,19,0.9846666666666667,0.0005333333333332746
1500,20,0.9853333333333333,0.00013333333333331865
