method,pair_id,selected_modules,low_policy_id,high_policy_id,low_loss_delta,high_loss_delta,measured_pair_delta,raw_pair_delta,final_pair_delta,raw_abs_delta,final_abs_delta,final_direction_correct
sparse_bf16,sparse_bf16_c064_pair07,64,sparse_bf16_c064_pair07_low_final,sparse_bf16_c064_pair07_high_final,0.055799353612612235,0.05358695657285906,-0.002212397039753178,0.01471355244439465,0.01734706695020377,0.01471355244439465,0.01734706695020377,0
dense_nvfp4,dense_nvfp4_c032_pair00,32,dense_nvfp4_c032_pair00_low_final,dense_nvfp4_c032_pair00_high_final,0.03454968887299237,0.006192678574713284,-0.028357010298279084,0.003513463090777824,0.0052284754315744635,0.003513463090777824,0.0052284754315744635,0
dense_nvfp4,dense_nvfp4_c032_pair01,32,dense_nvfp4_c032_pair01_low_final,dense_nvfp4_c032_pair01_high_final,0.03576974719471204,0.010307263954744794,-0.02546248323996725,0.0030670158487413612,0.005131702102546768,0.0030670158487413612,0.005131702102546768,0
dense_nvfp4,dense_nvfp4_c032_pair02,32,dense_nvfp4_c032_pair02_low_final,dense_nvfp4_c032_pair02_high_final,0.03392824034868158,0.008968362602935542,-0.02495987774574604,0.004301186390964329,0.004883123568917021,0.004301186390964329,0.004883123568917021,0
dense_nvfp4,dense_nvfp4_c032_pair03,32,dense_nvfp4_c032_pair03_low_final,dense_nvfp4_c032_pair03_high_final,0.03237257171750296,0.008671367704985,-0.023701204012517962,0.0026697406565500126,0.004861519670053691,0.0026697406565500126,0.004861519670053691,0
dense_nvfp4,dense_nvfp4_c032_pair04,32,dense_nvfp4_c032_pair04_low_final,dense_nvfp4_c032_pair04_high_final,0.010333231983819413,0.012224677024288866,0.0018914450404694527,0.004343700931928762,0.004729589061414179,0.004343700931928762,0.004729589061414179,1
dense_nvfp4,dense_nvfp4_c032_pair05,32,dense_nvfp4_c032_pair05_low_final,dense_nvfp4_c032_pair05_high_final,0.009468092610458001,0.00699134255575351,-0.0024767500547044907,0.002360528202093759,0.004726952237506701,0.002360528202093759,0.004726952237506701,0
dense_nvfp4,dense_nvfp4_c032_pair06,32,dense_nvfp4_c032_pair06_low_final,dense_nvfp4_c032_pair06_high_final,0.03405721780138715,0.0057500701127919385,-0.028307147688595213,0.0043020644613622205,0.004717730128223116,0.0043020644613622205,0.004717730128223116,0
dense_nvfp4,dense_nvfp4_c032_pair07,32,dense_nvfp4_c032_pair07_low_final,dense_nvfp4_c032_pair07_high_final,0.03205747893645117,0.00803321355009734,-0.024024265386353827,0.0022499019365421202,0.004703250549459151,0.0022499019365421202,0.004703250549459151,0
dense_nvfp4,dense_nvfp4_c064_pair00,64,dense_nvfp4_c064_pair00_low_final,dense_nvfp4_c064_pair00_high_final,0.040893002265586675,0.021173161769799664,-0.01971984049578701,0.003542876275289153,0.00611524720367243,0.003542876275289153,0.00611524720367243,0
