model,policy,family,recommendation,e2e_ms,speedup,speed_source,avg_nll,perplexity,quality_backend,quality_status,phase_trace,cnn_rougel,cnn_bertscore,dsum_rougel,dsum_bertscore,iwslt_rougel,iwslt_bleu,downstream_source
llama2,point_005,ours,,4868.260591290891,1.0578785023104575,measured formal closure,2.0066535522154165,7.438383488713483,real vLLM teacher-forced decode,complete,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_005_runtime.phase_trace.json,23.81971989986285,87.1897388637066,21.713345677055155,87.19526031812032,46.49316711330918,19.126002625416398,existing measured vLLM generation tasks
llama2,point_006,ours,,4853.200504556298,1.0611612313022845,measured formal closure,2.01040732112588,7.466357933349327,real vLLM teacher-forced decode,complete,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_006_runtime.phase_trace.json,23.834062536787183,87.20636849999428,21.412176672406275,87.1427888472875,44.32266462260115,18.013057480432984,existing measured vLLM generation tasks
llama2,point_007,ours,recommended: quality/throughput,4419.4051353260875,1.1653215909095045,measured formal closure,2.0156846407369446,7.505864443045093,real vLLM teacher-forced decode,complete,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_007_runtime.phase_trace.json,23.648421647456807,87.16718537807463,21.862508756190245,87.19821641445161,46.19828510916136,19.256275453235446,existing measured vLLM generation tasks
llama2,point_008,ours,,4368.5342175886035,1.17889158391773,measured formal closure,2.011935166157028,7.477774090056981,real vLLM teacher-forced decode,complete,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_008_runtime.phase_trace.json,23.818671312842767,87.1874325454235,21.643494778366286,87.10284581184388,45.43169658182861,18.919818455723398,existing measured vLLM generation tasks
llama2,point_009,ours,,4806.919523514807,1.071378082778083,measured formal closure,2.0208419324092626,7.544674366256599,real vLLM teacher-forced decode,complete,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_009_runtime.phase_trace.json,23.769612193523777,87.20052698254585,21.41893581957133,87.15439620812734,44.42285028434664,18.41879434601933,existing measured vLLM generation tasks
llama2,point_010,ours,,3798.3163110911846,1.3558713391335027,measured formal closure,2.028548351202501,7.603041398114706,real vLLM teacher-forced decode,complete,/root/wja/project/my/cospaq/fake/artifacts/debug/044_llama_prefill_decode_vllm_nll/results/llama2_prefill_decode/point_010_runtime.phase_trace.json,23.42440465064901,87.0539126098156,21.30006028769962,87.13307070732117,43.47314422380866,16.81567509740944,existing measured vLLM generation tasks
llama2,point_011,ours,recommended: max-speed endpoint,3004.9843937158585,1.7138286088745658,measured formal closure,2.0287947660421284,7.604915131189838,real vLLM teacher-forced decode,complete,results/llama2_prefill_decode/max_speed.phase_trace.json,23.54448451072056,87.08096308112144,21.581150643688353,87.15271744728088,45.30851099524983,18.3005454068444,existing measured vLLM generation tasks
llama2,i34,ours-intermediate,,3549.055865034461,1.4510981001765166,screened-stall measurement*,,,not re-evaluated,not re-evaluated,,23.751909556183858,87.08810083866119,21.70262104808348,87.1709014137586,45.41015802320414,18.304166072069968,existing measured vLLM generation tasks
llama2,i36,ours-intermediate,,3165.8878037706017,1.626724805925876,screened-stall measurement*,,,not re-evaluated,not re-evaluated,,23.8333589563156,87.1031246483326,21.624596618023105,87.15278072357178,46.37371853120734,18.948561581657515,existing measured vLLM generation tasks
llama2,i37,ours-intermediate,,3103.3783964812756,1.6594909048188005,screened-stall measurement*,,,not re-evaluated,not re-evaluated,,23.84344563517821,87.1507732629776,21.684704844426538,87.17215838432311,46.024588695085484,18.63937995670613,existing measured vLLM generation tasks
llama2,i38,ours-intermediate,recommended: fast task-validated,3064.998161047697,1.680271227768507,screened-stall measurement*,,,not re-evaluated,not re-evaluated,,23.75406202411094,87.11658775806427,21.63349491929622,87.14049945274989,46.297901897469444,19.029211002320928,existing measured vLLM generation tasks
llama31,dense_bf16,uniform,baseline,3432.1603514254093,1.0,fresh continuous closure,1.9075417758688786,6.736508579983134,real vLLM teacher-forced decode,complete,,19.486646011844265,83.60009970664977,13.783951364337065,78.18674818277358,28.146332320957857,10.680476355207592,existing measured vLLM generation tasks
llama31,dense_nvfp4,uniform,,3242.6806557923555,1.058433042209873,fresh continuous closure,1.9979468875394673,7.3739010985659394,real vLLM teacher-forced decode,complete,,16.344504766563386,84.9877464413643,8.203298439632116,81.6342495282491,28.408472488828814,10.312041924822964,existing measured vLLM generation tasks
llama31,marlin_nvfp4,uniform,,3134.7033604979515,1.1577846654409465,frozen legacy runner*,1.9547465645828148,7.062129003273344,real vLLM teacher-forced decode,complete,,16.10773075852231,85.06098644137381,8.804901982066879,81.43927837610245,28.80511531991448,10.402559279928408,existing measured vLLM generation tasks
llama31,sparse_bf16,uniform,,2926.3356253504753,1.172852601626771,fresh continuous closure,2.5479462039945076,12.780827596271847,real vLLM teacher-forced decode,complete,,12.833600396952004,81.27784140110016,4.048546159014087,79.12817947069803,14.32176254535821,3.2758777819110736,existing measured vLLM generation tasks
llama31,sparse_nvfp4,uniform,,4589.6831545978785,0.7907542545404118,frozen legacy runner*,3.4632384289459295,31.920180551659772,real vLLM teacher-forced decode,complete,,0.8038018032944585,76.72894817590714,0.1255593501235601,78.43803541262945,0.11014530650602607,0.014353592937392537,existing measured vLLM generation tasks
llama31,point_000,ours,identity / dense reference,3432.1603514254093,1.0,fresh continuous closure,1.9075417758688786,6.736508579983134,real vLLM teacher-forced decode,complete,,19.486646011844265,83.60009970664977,13.783951364337065,78.18674818277358,28.146332320957857,10.680476355207592,existing measured vLLM generation tasks
llama31,point_002,ours,recommended: high-quality,3132.484497502446,1.0956671466888015,fresh continuous closure,1.9127545823533905,6.771716381593984,real vLLM teacher-forced decode,complete,results/llama31_prefill_decode/point_002.phase_trace.json,20.27401203829553,83.24516150951385,13.472990224401924,78.40023163954417,28.098471652469048,10.585816011062366,existing measured vLLM generation tasks
llama31,point_004,ours,recommended: primary balanced,2708.3872128278017,1.2672339963686075,fresh continuous closure,1.9131161721335683,6.774165407776567,real vLLM teacher-forced decode,complete,results/llama31_prefill_decode/point_004.phase_trace.json,18.746917451759614,83.83713789582252,13.265827406967567,78.5850912531217,27.893111952431187,10.653937451241116,existing measured vLLM generation tasks
llama31,point_006,ours,recommended: fast task-validated,2312.2293185442686,1.4843511947103178,fresh continuous closure,1.9278928343869215,6.875008186990595,real vLLM teacher-forced decode,complete,results/llama31_prefill_decode/point_006_retry.phase_trace.json,16.674979194340423,84.39939765930175,11.122224335460306,80.7265845100085,28.4052156004634,10.582138590556474,existing measured vLLM generation tasks
llama31,point_008,ours,recommended: high-speed task-validated,2165.022535249591,1.5852769638860773,fresh continuous closure,1.950128558891133,7.029591238956188,real vLLM teacher-forced decode,complete,results/llama31_prefill_decode/point_008.phase_trace.json,16.2737276042479,84.03968939781188,8.957160033437916,81.6187355319659,28.342895081973325,10.54627275905532,existing measured vLLM generation tasks
llama31,point_009_max_speed,ours,recommended: max-speed endpoint,2028.5285357385874,1.691945807494278,fresh continuous closure,1.951015228229279,7.035826926055215,real vLLM teacher-forced decode,complete,results/llama31_prefill_decode/max_speed.phase_trace.json,16.839715330676142,84.04668332338333,9.084611043846671,81.46276683410008,28.846179810475046,10.570334865217028,existing measured vLLM generation tasks
