key,policy_index,batch_size_for_policy,point_index,policy_json,label,global_accuracy,total_right,total_wrong,replaced_linear_count,skipped_linear_count,backend_counts,runtime_skipped,sample_limit,batch_size,calib_samples
policy_044,44,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_044_random.json,random_mixed,0.98220000,4911,89,171,0,"{'dense_bf16': 53, 'dense_nvfp4': 55, 'sparse_bf16': 59, 'sparse_nvfp4': 57}",[],,8,128
policy_039,39,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_039_random.json,random_mixed,0.98040000,4902,98,172,0,"{'dense_bf16': 52, 'dense_nvfp4': 62, 'sparse_bf16': 54, 'sparse_nvfp4': 56}",[],,8,128
policy_045,45,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_045_random.json,random_mixed,0.98560000,4928,72,160,0,"{'dense_bf16': 64, 'dense_nvfp4': 54, 'sparse_bf16': 54, 'sparse_nvfp4': 52}",[],,8,128
policy_049,49,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_049_random.json,random_mixed,0.98400000,4920,80,179,0,"{'dense_bf16': 45, 'dense_nvfp4': 63, 'sparse_bf16': 58, 'sparse_nvfp4': 58}",[],,8,128
policy_040,40,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_040_random.json,random_mixed,0.98560000,4928,72,168,0,"{'dense_bf16': 56, 'dense_nvfp4': 61, 'sparse_bf16': 59, 'sparse_nvfp4': 48}",[],,8,128
policy_046,46,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_046_random.json,random_mixed,0.97380000,4869,131,173,0,"{'dense_bf16': 51, 'dense_nvfp4': 56, 'sparse_bf16': 57, 'sparse_nvfp4': 60}",[],,8,128
policy_051,51,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_051_random.json,random_mixed,0.98120000,4906,94,175,0,"{'dense_bf16': 49, 'dense_nvfp4': 48, 'sparse_bf16': 67, 'sparse_nvfp4': 60}",[],,8,128
policy_050,50,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_050_random.json,random_mixed,0.98000000,4900,100,160,0,"{'dense_bf16': 64, 'dense_nvfp4': 59, 'sparse_bf16': 55, 'sparse_nvfp4': 46}",[],,8,128
policy_052,52,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_052_random.json,random_mixed,0.97920000,4896,104,166,0,"{'dense_bf16': 58, 'dense_nvfp4': 60, 'sparse_bf16': 53, 'sparse_nvfp4': 53}",[],,8,128
policy_047,47,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_047_random.json,random_mixed,0.98980000,4949,51,171,0,"{'dense_bf16': 53, 'dense_nvfp4': 50, 'sparse_bf16': 58, 'sparse_nvfp4': 63}",[],,8,128
policy_053,53,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_053_random.json,random_mixed,0.98600000,4930,70,173,0,"{'dense_bf16': 51, 'dense_nvfp4': 61, 'sparse_bf16': 62, 'sparse_nvfp4': 50}",[],,8,128
policy_057,57,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_057_round_robin_r0.25.json,round_robin_0.25,0.98660000,4933,67,57,0,"{'dense_bf16': 167, 'dense_nvfp4': 19, 'sparse_bf16': 19, 'sparse_nvfp4': 19}",[],,8,128
policy_058,58,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_058_round_robin_r0.5.json,round_robin_0.5,0.98640000,4932,68,113,0,"{'dense_bf16': 111, 'dense_nvfp4': 38, 'sparse_bf16': 38, 'sparse_nvfp4': 37}",[],,8,128
policy_048,48,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_048_random.json,random_mixed,0.98020000,4901,99,162,0,"{'dense_bf16': 62, 'dense_nvfp4': 61, 'sparse_bf16': 56, 'sparse_nvfp4': 45}",[],,8,128
policy_059,59,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_059_round_robin_r0.75.json,round_robin_0.75,0.98660000,4933,67,169,0,"{'dense_bf16': 55, 'dense_nvfp4': 57, 'sparse_bf16': 56, 'sparse_nvfp4': 56}",[],,8,128
policy_054,54,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_054_random.json,random_mixed,0.98580000,4929,71,175,0,"{'dense_bf16': 49, 'dense_nvfp4': 60, 'sparse_bf16': 56, 'sparse_nvfp4': 59}",[],,8,128
policy_055,55,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_055_random.json,random_mixed,0.98480000,4924,76,171,0,"{'dense_bf16': 53, 'dense_nvfp4': 49, 'sparse_bf16': 62, 'sparse_nvfp4': 60}",[],,8,128
policy_060,60,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_060_round_robin_r1.json,round_robin_1,0.98800000,4940,60,224,0,"{'dense_nvfp4': 75, 'sparse_bf16': 75, 'sparse_nvfp4': 74}",[],,8,128
policy_056,56,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_056_random.json,random_mixed,0.97380000,4869,131,169,0,"{'dense_bf16': 55, 'dense_nvfp4': 57, 'sparse_bf16': 52, 'sparse_nvfp4': 60}",[],,8,128
