key,policy_index,batch_size_for_policy,point_index,policy_json,label,nll,nll_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_nll,replaced_linear_count,skipped_linear_count,backend_counts,runtime_skipped,sample_limit,batch_size,calib_samples,loss_definition
policy_004,4,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_004_dense_nvfp4_r0.2.json,dense_nvfp4_ratio_0.2,0.6234303882,-0.0007042036,1.8653158368,721498,449803.778261,0.6241345918,45,0,"{'dense_bf16': 179, 'dense_nvfp4': 45}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_012,12,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_012_sparse_bf16_r0.2.json,sparse_bf16_ratio_0.2,0.6302074773,0.0060728855,1.8780001813,721498,454693.434463,0.6241345918,45,0,"{'dense_bf16': 179, 'sparse_bf16': 45}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_020,20,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_020_sparse_nvfp4_r0.2.json,sparse_nvfp4_ratio_0.2,0.6474061255,0.0232715337,1.9105785950,721498,467102.224724,0.6241345918,45,0,"{'dense_bf16': 179, 'sparse_nvfp4': 45}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_038,38,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_038_random.json,random_mixed,0.8119970155,0.1878624237,2.2524015791,721498,585854.222684,0.6241345918,175,0,"{'dense_bf16': 49, 'dense_nvfp4': 54, 'sparse_bf16': 58, 'sparse_nvfp4': 63}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_054,54,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_054_random.json,random_mixed,0.7446487555,0.1205141637,2.1057016889,721498,537262.587788,0.6241345918,175,0,"{'dense_bf16': 49, 'dense_nvfp4': 60, 'sparse_bf16': 56, 'sparse_nvfp4': 59}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_046,46,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_046_random.json,random_mixed,0.7840391329,0.1599045411,2.1903013408,721498,565682.666297,0.6241345918,173,0,"{'dense_bf16': 51, 'dense_nvfp4': 56, 'sparse_bf16': 57, 'sparse_nvfp4': 60}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_030,30,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_030_random.json,random_mixed,0.7088440621,0.0847094703,2.0316414494,721498,511429.573107,0.6241345918,165,0,"{'dense_bf16': 59, 'dense_nvfp4': 57, 'sparse_bf16': 52, 'sparse_nvfp4': 56}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_005,5,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_005_dense_nvfp4_r0.35.json,dense_nvfp4_ratio_0.35,0.6198484333,-0.0042861585,1.8586463117,721498,447219.404957,0.6241345918,78,0,"{'dense_bf16': 146, 'dense_nvfp4': 78}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_021,21,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_021_sparse_nvfp4_r0.35.json,sparse_nvfp4_ratio_0.35,0.6972657142,0.0731311224,2.0082540530,721498,503075.818292,0.6241345918,78,0,"{'dense_bf16': 146, 'sparse_nvfp4': 78}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_013,13,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_013_sparse_bf16_r0.35.json,sparse_bf16_ratio_0.35,0.6401855258,0.0160509340,1.8968327581,721498,461892.576507,0.6241345918,78,0,"{'dense_bf16': 146, 'sparse_bf16': 78}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
policy_039,39,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_039_random.json,random_mixed,0.7252235132,0.1010889214,2.0651926462,721498,523247.314326,0.6241345918,172,0,"{'dense_bf16': 52, 'dense_nvfp4': 62, 'sparse_bf16': 54, 'sparse_nvfp4': 56}",[],,4,128,assistant_answer_token_nll_v2_active_prefix_aligned
