n,seed,accuracy,abs_error
75,21,0.8266666666666667,0.05806666666666671
75,22,0.7733333333333333,0.004733333333333367
75,23,0.7333333333333333,0.03526666666666667
75,24,0.7466666666666667,0.02193333333333325
75,25,0.84,0.07140000000000002
75,26,0.7333333333333333,0.03526666666666667
75,27,0.8666666666666667,0.09806666666666675
75,28,0.7866666666666666,0.018066666666666675
75,29,0.84,0.07140000000000002
100,0,0.81,0.0414000000000001
100,1,0.75,0.01859999999999995
100,2,0.76,0.008599999999999941
100,3,0.78,0.011400000000000077
100,4,0.77,0.0014000000000000679
100,5,0.82,0.0514
100,6,0.73,0.03859999999999997
100,7,0.76,0.008599999999999941
100,8,0.76,0.008599999999999941
100,9,0.75,0.01859999999999995
100,10,0.78,0.011400000000000077
100,11,0.75,0.01859999999999995
100,12,0.81,0.0414000000000001
100,13,0.65,0.11859999999999993
100,14,0.72,0.04859999999999998
100,15,0.8,0.031400000000000095
100,16,0.81,0.0414000000000001
100,17,0.76,0.008599999999999941
100,18,0.75,0.01859999999999995
100,19,0.78,0.011400000000000077
100,20,0.78,0.011400000000000077
100,21,0.83,0.06140000000000001
100,22,0.74,0.02859999999999996
100,23,0.77,0.0014000000000000679
100,24,0.74,0.02859999999999996
100,25,0.82,0.0514
100,26,0.76,0.008599999999999941
100,27,0.85,0.08140000000000003
100,28,0.79,0.021400000000000086
100,29,0.85,0.08140000000000003
150,0,0.7733333333333333,0.004733333333333367
150,1,0.7733333333333333,0.004733333333333367
150,2,0.7933333333333333,0.024733333333333385
150,3,0.7533333333333333,0.01526666666666665
150,4,0.7333333333333333,0.03526666666666667
150,5,0.8066666666666666,0.03806666666666669
150,6,0.7466666666666667,0.02193333333333325
150,7,0.78,0.011400000000000077
150,8,0.7666666666666667,0.0019333333333332314
150,9,0.7733333333333333,0.004733333333333367
150,10,0.7933333333333333,0.024733333333333385
150,11,0.7333333333333333,0.03526666666666667
150,12,0.82,0.0514
150,13,0.6866666666666666,0.0819333333333333
150,14,0.7533333333333333,0.01526666666666665
150,15,0.7866666666666666,0.018066666666666675
150,16,0.8333333333333334,0.06473333333333342
150,17,0.7666666666666667,0.0019333333333332314
150,18,0.7266666666666667,0.04193333333333327
150,19,0.78,0.011400000000000077
150,20,0.7866666666666666,0.018066666666666675
150,21,0.8,0.031400000000000095
150,22,0.7533333333333333,0.01526666666666665
150,23,0.7866666666666666,0.018066666666666675
150,24,0.7333333333333333,0.03526666666666667
150,25,0.8066666666666666,0.03806666666666669
150,26,0.76,0.008599999999999941
150,27,0.84,0.07140000000000002
150,28,0.7933333333333333,0.024733333333333385
150,29,0.82,0.0514
200,0,0.785,0.01640000000000008
200,1,0.81,0.0414000000000001
200,2,0.785,0.01640000000000008
200,3,0.74,0.02859999999999996
200,4,0.745,0.023599999999999954
200,5,0.785,0.01640000000000008
200,6,0.76,0.008599999999999941
200,7,0.77,0.0014000000000000679
200,8,0.785,0.01640000000000008
200,9,0.765,0.0035999999999999366
200,10,0.79,0.021400000000000086
200,11,0.745,0.023599999999999954
200,12,0.815,0.0464
200,13,0.695,0.0736
200,14,0.77,0.0014000000000000679
200,15,0.81,0.0414000000000001
200,16,0.81,0.0414000000000001
200,17,0.77,0.0014000000000000679
200,18,0.735,0.03359999999999996
200,19,0.765,0.0035999999999999366
200,20,0.775,0.006400000000000072
200,21,0.78,0.011400000000000077
200,22,0.745,0.023599999999999954
200,23,0.805,0.0364000000000001
200,24,0.735,0.03359999999999996
200,25,0.78,0.011400000000000077
200,26,0.755,0.013599999999999945
200,27,0.805,0.0364000000000001
200,28,0.775,0.006400000000000072
200,29,0.805,0.0364000000000001
300,0,0.77,0.0014000000000000679
300,1,0.7933333333333333,0.024733333333333385
300,2,0.76,0.008599999999999941
300,3,0.7566666666666667,0.01193333333333324
300,4,0.77,0.0014000000000000679
300,5,0.7733333333333333,0.004733333333333367
300,6,0.76,0.008599999999999941
300,7,0.7733333333333333,0.004733333333333367
300,8,0.7833333333333333,0.014733333333333376
300,9,0.7733333333333333,0.004733333333333367
300,10,0.7933333333333333,0.024733333333333385
300,11,0.7666666666666667,0.0019333333333332314
300,12,0.8033333333333333,0.034733333333333394
300,13,0.7266666666666667,0.04193333333333327
300,14,0.7666666666666667,0.0019333333333332314
300,15,0.7966666666666666,0.028066666666666684
300,16,0.8133333333333334,0.0447333333333334
300,17,0.7633333333333333,0.005266666666666642
300,18,0.7566666666666667,0.01193333333333324
300,19,0.7733333333333333,0.004733333333333367
300,20,0.77,0.0014000000000000679
300,21,0.7666666666666667,0.0019333333333332314
300,22,0.7766666666666666,0.008066666666666666
300,23,0.7966666666666666,0.028066666666666684
300,24,0.7066666666666667,0.061933333333333285
300,25,0.7833333333333333,0.014733333333333376
300,26,0.7266666666666667,0.04193333333333327
300,27,0.8133333333333334,0.0447333333333334
300,28,0.7666666666666667,0.0019333333333332314
300,29,0.7833333333333333,0.014733333333333376
500,0,0.778,0.009400000000000075
500,1,0.772,0.0034000000000000696
500,2,0.772,0.0034000000000000696
500,3,0.75,0.01859999999999995
500,4,0.78,0.011400000000000077
500,5,0.758,0.010599999999999943
500,6,0.784,0.01540000000000008
500,7,0.778,0.009400000000000075
500,8,0.766,0.0025999999999999357
500,9,0.774,0.005400000000000071
500,10,0.79,0.021400000000000086
500,11,0.758,0.010599999999999943
500,12,0.8,0.031400000000000095
500,13,0.752,0.016599999999999948
500,14,0.774,0.005400000000000071
500,15,0.764,0.0045999999999999375
500,16,0.796,0.02740000000000009
500,17,0.764,0.0045999999999999375
500,18,0.764,0.0045999999999999375
500,19,0.786,0.017400000000000082
500,20,0.774,0.005400000000000071
500,21,0.778,0.009400000000000075
500,22,0.768,0.0005999999999999339
500,23,0.776,0.007400000000000073
500,24,0.72,0.04859999999999998
500,25,0.76,0.008599999999999941
500,26,0.744,0.024599999999999955
500,27,0.808,0.0394000000000001
500,28,0.772,0.0034000000000000696
500,29,0.762,0.006599999999999939
750,0,0.7733333333333333,0.004733333333333367
750,1,0.7733333333333333,0.004733333333333367
750,2,0.7693333333333333,0.0007333333333333636
750,3,0.7653333333333333,0.00326666666666664
750,4,0.7706666666666667,0.002066666666666772
750,5,0.7746666666666666,0.006066666666666665
750,6,0.7906666666666666,0.02206666666666668
750,7,0.7813333333333333,0.012733333333333374
750,8,0.7706666666666667,0.002066666666666772
750,9,0.7706666666666667,0.002066666666666772
750,10,0.7866666666666666,0.018066666666666675
750,11,0.7573333333333333,0.011266666666666647
750,12,0.8,0.031400000000000095
750,13,0.768,0.0005999999999999339
750,14,0.7653333333333333,0.00326666666666664
750,15,0.7573333333333333,0.011266666666666647
750,16,0.7786666666666666,0.010066666666666668
750,17,0.756,0.012599999999999945
750,18,0.7813333333333333,0.012733333333333374
750,19,0.7813333333333333,0.012733333333333374
750,20,0.772,0.0034000000000000696
750,21,0.78,0.011400000000000077
750,22,0.7653333333333333,0.00326666666666664
750,23,0.7773333333333333,0.00873333333333337
750,24,0.7306666666666667,0.03793333333333326
750,25,0.7706666666666667,0.002066666666666772
750,26,0.7546666666666667,0.013933333333333242
750,27,0.7893333333333333,0.02073333333333338
750,28,0.7866666666666666,0.018066666666666675
750,29,0.752,0.016599999999999948
1000,0,0.784,0.01540000000000008
1000,1,0.776,0.007400000000000073
1000,2,0.773,0.0044000000000000705
1000,3,0.774,0.005400000000000071
1000,4,0.775,0.006400000000000072
1000,5,0.774,0.005400000000000071
1000,6,0.771,0.0024000000000000687
1000,7,0.772,0.0034000000000000696
1000,8,0.757,0.011599999999999944
1000,9,0.773,0.0044000000000000705
1000,10,0.779,0.010400000000000076
1000,11,0.761,0.00759999999999994
1000,12,0.792,0.023400000000000087
1000,13,0.778,0.009400000000000075
1000,14,0.764,0.0045999999999999375
1000,15,0.748,0.02059999999999995
1000,16,0.781,0.012400000000000078
