name,backend,n,k,predicted_latency_ms,reason
backbone.layer.14.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.14.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.14.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.14.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.14.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.14.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.15.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.15.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.15.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.15.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.15.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.15.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.15.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.16.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.16.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.16.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.16.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.16.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.16.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.16.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.17.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.17.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.17.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.17.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.17.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.17.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.17.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.18.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.18.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
