method,model_key,model_path,batch,input_seq,output_seq,max_model_len,total_prompt_tokens,total_tokens,iter,elapsed_ms
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,128,128,256,4096,8192,2,2459.689646959305
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,128,128,256,8192,16384,0,3086.722617968917
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,128,128,256,8192,16384,1,3076.9935995340347
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,128,128,256,8192,16384,2,3081.9973051548004
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,128,128,256,16384,32768,0,5568.71959194541
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,128,128,256,16384,32768,1,5552.502408623695
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,128,128,256,16384,32768,2,5577.622981742024
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,256,128,128,256,32768,65536,0,10814.86107595265
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,256,128,128,256,32768,65536,1,10823.005141690373
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,256,128,128,256,32768,65536,2,10861.60122975707
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,512,128,128,256,65536,131072,0,22679.986411705613
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,512,128,128,256,65536,131072,1,22882.457772269845
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,512,128,128,256,65536,131072,2,22670.493956655264
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1024,128,128,256,131072,262144,0,44370.03430724144
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1024,128,128,256,131072,262144,1,44225.15066713095
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1024,128,128,256,131072,262144,2,44224.48109090328
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,256,1,257,256,257,0,26.73712559044361
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,256,1,257,256,257,1,26.051677763462067
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,256,1,257,256,257,2,25.932466611266136
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,256,1,257,512,514,0,51.071956753730774
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,256,1,257,512,514,1,51.00947991013527
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,256,1,257,512,514,2,50.986820831894875
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,256,1,257,1024,1028,0,85.81622131168842
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,256,1,257,1024,1028,1,86.09300293028355
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,256,1,257,1024,1028,2,85.63839085400105
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,256,1,257,2048,2056,0,153.5370610654354
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,256,1,257,2048,2056,1,149.03455041348934
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,256,1,257,2048,2056,2,153.49771082401276
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,256,1,257,4096,4112,0,265.126483514905
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,256,1,257,4096,4112,1,265.55922254920006
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,16,256,1,257,4096,4112,2,265.9882139414549
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,256,1,257,8192,8224,0,506.2137246131897
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,256,1,257,8192,8224,1,505.8844368904829
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,32,256,1,257,8192,8224,2,505.92564046382904
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,256,1,257,16384,16448,0,1026.7430804669857
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,256,1,257,16384,16448,1,1029.4950120151043
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,64,256,1,257,16384,16448,2,1020.8979714661837
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,256,1,257,32768,32896,0,2052.5530260056257
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,256,1,257,32768,32896,1,2054.8180490732193
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,128,256,1,257,32768,32896,2,2051.3534266501665
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,256,256,1,257,65536,65792,0,4116.403354331851
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,256,256,1,257,65536,65792,1,4115.629989653826
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,256,256,1,257,65536,65792,2,4099.546005949378
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,512,256,1,257,131072,131584,0,8197.010848671198
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,512,256,1,257,131072,131584,1,8196.250807493925
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,512,256,1,257,131072,131584,2,8189.813122153282
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,256,16,272,256,272,0,196.9873532652855
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,256,16,272,256,272,1,196.44252583384514
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,1,256,16,272,256,272,2,196.42862491309643
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,256,16,272,512,544,0,234.43167470395565
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,256,16,272,512,544,1,234.4286162406206
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,2,256,16,272,512,544,2,240.79514481127262
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,256,16,272,1024,1088,0,273.44685792922974
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,256,16,272,1024,1088,1,273.20381067693233
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,4,256,16,272,1024,1088,2,273.74316565692425
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,256,16,272,2048,2176,0,352.1371390670538
dense_bf16,dense_bf16,/root/wja/data/models/LLM-Research/llama-2-7b,8,256,16,272,2048,2176,1,351.47797875106335
