policy_id,scenario,sample_count,dense_prefill_nll,dense_decode_nll,prefill_nll,decode_nll,delta_prefill_nll,delta_decode_nll,target_delta_nll,prefill_tokens,decode_tokens,split,policy_kind
p17,prefill_decode,100,1.983379703760147,1.90317200756073,1.984545282125473,1.9065122652053832,0.0011655783653259366,0.0033402576446532883,0.268386189937589,8000,8000,train,controlled
p18,prefill_decode,100,1.983379703760147,1.90317200756073,1.988319742679596,1.9200647416114807,0.004940038919448941,0.016892734050750757,1.3563587629795095,8000,8000,train,controlled
p19,prefill_decode,100,1.983379703760147,1.90317200756073,2.172757328748703,2.2128187055587767,0.18937762498855615,0.3096466979980468,24.961113464832298,8000,8000,train,controlled
p20,prefill_decode,100,1.983379703760147,1.90317200756073,1.9872674942016602,1.974788516998291,0.003887790441513106,0.07161650943756115,5.733208545446405,8000,8000,train,controlled
p21,prefill_decode,100,1.983379703760147,1.90317200756073,1.9917271721363068,1.9130362319946288,0.008347468376159739,0.009864224433898894,0.7974854230880712,8000,8000,train,controlled
p22,prefill_decode,100,1.983379703760147,1.90317200756073,2.2048682057857514,2.1461420402526854,0.22148850202560433,0.2429700326919555,19.659091117382044,8000,8000,train,controlled
p23,prefill_decode,100,1.983379703760147,1.90317200756073,2.5027472233772277,2.2801491708755495,0.5193675196170806,0.37697716331481956,30.677540584802646,8000,8000,train,controlled
p24,prefill_decode,100,1.983379703760147,1.90317200756073,1.9917271721363068,2.04995471572876,0.008347468376159739,0.14678270816802996,11.750964121818557,8000,8000,train,controlled
p25,prefill_decode,100,1.983379703760147,1.90317200756073,1.9912864792346954,1.938733642578125,0.007906775474548322,0.035561635017395066,2.8528375768661536,8000,8000,train,controlled
p26,prefill_decode,100,1.983379703760147,1.90317200756073,2.0794560825824737,2.010496873855591,0.09607637882232667,0.10732486629486093,8.682065682411201,8000,8000,train,controlled
p27,prefill_decode,100,1.983379703760147,1.90317200756073,2.232375158071518,2.139986005783081,0.24899545431137082,0.23681399822235116,19.194115312099463,8000,8000,train,controlled
p28,prefill_decode,100,1.983379703760147,1.90317200756073,1.9912864792346954,2.1077638177871703,0.007906775474548322,0.20459181022644035,16.375251593589777,8000,8000,train,controlled
p29,prefill_decode,100,1.983379703760147,1.90317200756073,1.992758674621582,1.9134997835159302,0.00937897086143491,0.010327775955200291,0.8356010472774582,8000,8000,train,controlled
p30,prefill_decode,100,1.983379703760147,1.90317200756073,2.1257935428619383,2.0431722764968874,0.14241383910179128,0.14000026893615747,11.34243535399439,8000,8000,train,controlled
p31,prefill_decode,100,1.983379703760147,1.90317200756073,2.2517175781726837,2.2720627927780153,0.26833787441253665,0.36889078521728536,29.779600691795366,8000,8000,train,controlled
p32,prefill_decode,100,1.983379703760147,1.90317200756073,1.992758674621582,2.1856367959976195,0.00937897086143491,0.2824647884368896,22.606562045812602,8000,8000,train,controlled
p33,prefill_decode,100,1.983379703760147,1.90317200756073,1.9937841165065766,1.9953039321899415,0.010404412746429559,0.0921319246292116,7.380958383083358,8000,8000,train,controlled
p34,prefill_decode,100,1.983379703760147,1.90317200756073,2.1337060177326204,2.046059450149536,0.1503263139724733,0.14288744258880604,11.581321721076955,8000,8000,train,controlled
p35,prefill_decode,100,1.983379703760147,1.90317200756073,2.279766904115677,2.2886365690231325,0.2963872003555299,0.3854645614624026,31.133552117347737,8000,8000,train,controlled
p36,prefill_decode,100,1.983379703760147,1.90317200756073,1.9937841165065766,1.967696825504303,0.010404412746429559,0.06452481794357312,5.172389848232279,8000,8000,train,controlled
p37,prefill_decode,100,1.983379703760147,1.90317200756073,2.0313127708435057,2.052437448501587,0.04793306708335865,0.14926544094085692,11.989168342351912,8000,8000,train,balanced_mixed
p38,prefill_decode,100,1.983379703760147,1.90317200756073,2.055214520692825,1.9736204404830933,0.07183481693267812,0.07044843292236336,5.7077094507217465,8000,8000,train,balanced_mixed
p39,prefill_decode,100,1.983379703760147,1.90317200756073,2.0882047486305235,2.10095782661438,0.10482504487037647,0.1977858190536499,15.927690569162367,8000,8000,train,balanced_mixed
p40,prefill_decode,100,1.983379703760147,1.90317200756073,2.2147396743297576,2.0358960447311403,0.23135997056961055,0.13272403717041037,10.84928294420244,8000,8000,train,balanced_mixed
p41,prefill_decode,100,1.983379703760147,1.90317200756073,2.2669921243190765,2.2344431495666504,0.28361242055892943,0.33127114200592045,26.785303781032564,8000,8000,train,balanced_mixed
p42,prefill_decode,100,1.983379703760147,1.90317200756073,2.031406759023666,1.9523482503890992,0.048027055263519136,0.0491762428283693,3.9821264815330633,8000,8000,train,balanced_mixed
p43,prefill_decode,100,1.983379703760147,1.90317200756073,2.0449670684337615,2.181235460281372,0.061587364673614475,0.27806345272064226,22.306663582324994,8000,8000,train,balanced_mixed
p44,prefill_decode,100,1.983379703760147,1.90317200756073,2.1806746983528136,2.0738440532684326,0.19729499459266653,0.17067204570770267,13.85105865120888,8000,8000,train,balanced_mixed
p45,prefill_decode,100,1.983379703760147,1.90317200756073,2.2076211738586426,2.2589745388031006,0.2242414700984956,0.3558025312423707,28.68844396948815,8000,8000,train,balanced_mixed
p46,prefill_decode,100,1.983379703760147,1.90317200756073,2.2896090579032897,1.938733642578125,0.3062293541431427,0.035561635017395066,3.1511601555347477,8000,8000,train,balanced_mixed
p47,prefill_decode,100,1.983379703760147,1.90317200756073,2.043552168607712,1.9658128528594971,0.06017246484756478,0.06264084529876723,5.071440088748943,8000,8000,train,balanced_mixed
p48,prefill_decode,100,1.983379703760147,1.90317200756073,2.11086399435997,2.24719558429718,0.12748429059982302,0.3440235767364501,27.649370429515834,8000,8000,train,balanced_mixed
p49,prefill_decode,100,1.983379703760147,1.90317200756073,2.151212062835693,2.066279631614685,0.16783235907554617,0.1631076240539553,13.21644228339197,8000,8000,train,balanced_mixed
