batch_size,actual_batch_size,label,group,policy_json,forward_mean_ms,forward_p50_ms,forward_p90_ms,forward_min_ms,forward_max_ms,images_per_sec,runtime_dtype,warmup,iters,backend_counts,effective_dense_runtime,replaced_linear_count,skipped_linear_count
4,4,ours_mlp_all_attn_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_008_mlp_all_plus_attn_sparse_bf16_64.json,34.038818,30.934432,44.416418,30.706623,51.575073,117.512894,bfloat16,100,50,"{'dense_bf16': 64, 'sparse_bf16': 160}",bf16_for_unreplaced_layers,160,0
4,4,ours_mlp_sparse_bf16_96,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_006_mlp_sparse_bf16_96.json,38.137367,38.064655,38.526370,37.724194,38.929024,104.884011,bfloat16,100,50,"{'dense_bf16': 128, 'sparse_bf16': 96}",bf16_for_unreplaced_layers,96,0
4,4,uniform_dense_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_000_dense_bf16_reference.json,24.929092,24.934735,25.000138,24.820032,25.038080,160.455103,bfloat16,100,50,{'dense_bf16': 224},bf16_for_unreplaced_layers,0,0
4,4,uniform_dense_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_002_uniform_dense_nvfp4.json,79.480954,79.159859,79.925413,78.756927,85.318367,50.326522,bfloat16,100,50,{'dense_nvfp4': 224},bf16_for_unreplaced_layers,224,0
4,4,uniform_sparse_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,40.772593,40.641392,41.036900,40.237473,44.156574,98.105116,bfloat16,100,50,{'sparse_bf16': 224},bf16_for_unreplaced_layers,224,0
4,4,uniform_sparse_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_004_uniform_sparse_nvfp4.json,70.374721,70.226547,71.026138,69.881058,72.217247,56.838592,bfloat16,100,50,{'sparse_nvfp4': 224},bf16_for_unreplaced_layers,224,0
8,8,dense_default_amp,uncompressed,,43.266041,43.157167,43.285368,43.027264,47.699265,184.902518,float32+amp_bfloat16,100,50,{'dense_default': 224},default_amp,0,0
8,8,ours_extreme_fastest_microbench,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_015_extreme_fastest_microbench.json,36.265493,36.208479,36.428788,35.728161,38.342079,220.595373,bfloat16,100,50,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}",bf16_for_unreplaced_layers,191,0
8,8,ours_gate_up_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_004_gate_up_sparse_bf16_64.json,26.106345,26.054336,26.095241,25.967297,27.322081,306.438914,bfloat16,100,50,"{'dense_bf16': 160, 'sparse_bf16': 64}",bf16_for_unreplaced_layers,64,0
8,8,ours_mlp_all_attn_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_008_mlp_all_plus_attn_sparse_bf16_64.json,37.950717,37.649057,38.599842,37.213825,43.812992,210.799706,bfloat16,100,50,"{'dense_bf16': 64, 'sparse_bf16': 160}",bf16_for_unreplaced_layers,160,0
8,8,ours_mlp_sparse_bf16_96,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_006_mlp_sparse_bf16_96.json,35.651533,35.833008,36.021946,32.156544,36.239807,224.394276,bfloat16,100,50,"{'dense_bf16': 128, 'sparse_bf16': 96}",bf16_for_unreplaced_layers,96,0
8,8,uniform_dense_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_000_dense_bf16_reference.json,28.523062,28.524144,28.571548,28.423361,28.612097,280.474798,bfloat16,100,50,{'dense_bf16': 224},bf16_for_unreplaced_layers,0,0
8,8,uniform_dense_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_002_uniform_dense_nvfp4.json,72.397006,72.193455,72.996537,71.276192,76.615875,110.501807,bfloat16,100,50,{'dense_nvfp4': 224},bf16_for_unreplaced_layers,224,0
8,8,uniform_sparse_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,36.725689,36.634624,36.843805,36.303391,39.650784,217.831173,bfloat16,100,50,{'sparse_bf16': 224},bf16_for_unreplaced_layers,224,0
8,8,uniform_sparse_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_004_uniform_sparse_nvfp4.json,74.943946,74.621601,74.930540,74.278236,87.995934,106.746448,bfloat16,100,50,{'sparse_nvfp4': 224},bf16_for_unreplaced_layers,224,0
