batch_size,actual_batch_size,label,group,policy_json,forward_mean_ms,forward_p50_ms,forward_p90_ms,forward_min_ms,forward_max_ms,images_per_sec,runtime_dtype,warmup,iters,backend_counts,effective_dense_runtime,replaced_linear_count,skipped_linear_count
2,2,uniform_sparse_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_004_uniform_sparse_nvfp4.json,70.049293,69.989025,70.288115,69.541473,72.624352,28.551323,bfloat16,100,50,{'sparse_nvfp4': 224},bf16_for_unreplaced_layers,224,0
32,32,dense_default_amp,uncompressed,,102.916570,102.914898,102.957144,102.833633,103.135902,310.931465,float32+amp_bfloat16,100,50,{'dense_default': 224},default_amp,0,0
32,32,ours_extreme_fastest_microbench,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_015_extreme_fastest_microbench.json,73.855555,73.835152,73.861141,73.767677,75.079102,433.278176,bfloat16,100,50,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}",bf16_for_unreplaced_layers,191,0
32,32,ours_gate_up_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_004_gate_up_sparse_bf16_64.json,87.728258,87.724270,87.758945,87.655106,87.858818,364.762742,bfloat16,100,50,"{'dense_bf16': 160, 'sparse_bf16': 64}",bf16_for_unreplaced_layers,64,0
32,32,ours_mlp_all_attn_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_008_mlp_all_plus_attn_sparse_bf16_64.json,75.518666,75.493309,75.646123,75.419746,75.716576,423.736300,bfloat16,100,50,"{'dense_bf16': 64, 'sparse_bf16': 160}",bf16_for_unreplaced_layers,160,0
32,32,ours_mlp_sparse_bf16_96,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_006_mlp_sparse_bf16_96.json,79.378081,79.354832,79.463406,79.285828,79.694847,403.133957,bfloat16,100,50,"{'dense_bf16': 128, 'sparse_bf16': 96}",bf16_for_unreplaced_layers,96,0
32,32,uniform_dense_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_000_dense_bf16_reference.json,92.516284,92.520847,92.553728,92.365730,92.879326,345.885055,bfloat16,100,50,{'dense_bf16': 224},bf16_for_unreplaced_layers,0,0
32,32,uniform_dense_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_002_uniform_dense_nvfp4.json,114.338779,110.370754,119.853751,109.709251,121.947998,279.870052,bfloat16,100,50,{'dense_nvfp4': 224},bf16_for_unreplaced_layers,224,0
32,32,uniform_sparse_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,71.910076,71.910065,71.989193,71.732445,72.078178,445.000224,bfloat16,100,50,{'sparse_bf16': 224},bf16_for_unreplaced_layers,224,0
32,32,uniform_sparse_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_004_uniform_sparse_nvfp4.json,112.433986,108.627857,117.880325,107.229378,121.069092,284.611451,bfloat16,100,50,{'sparse_nvfp4': 224},bf16_for_unreplaced_layers,224,0
4,4,dense_default_amp,uncompressed,,39.134486,39.506016,40.784743,34.649025,47.096928,102.211639,float32+amp_bfloat16,100,50,{'dense_default': 224},default_amp,0,0
4,4,ours_extreme_fastest_microbench,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_015_extreme_fastest_microbench.json,39.207521,39.146048,39.487226,38.878494,40.808960,102.021244,bfloat16,100,50,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}",bf16_for_unreplaced_layers,191,0
4,4,ours_gate_up_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_004_gate_up_sparse_bf16_64.json,39.343662,39.202576,39.626774,38.896927,41.836159,101.668218,bfloat16,100,50,"{'dense_bf16': 160, 'sparse_bf16': 64}",bf16_for_unreplaced_layers,64,0
4,4,ours_mlp_all_attn_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_008_mlp_all_plus_attn_sparse_bf16_64.json,37.601589,37.635937,37.899000,37.104286,41.022430,106.378483,bfloat16,100,50,"{'dense_bf16': 64, 'sparse_bf16': 160}",bf16_for_unreplaced_layers,160,0
4,4,ours_mlp_sparse_bf16_96,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_006_mlp_sparse_bf16_96.json,33.704960,33.664799,33.836704,33.255615,35.333473,118.676895,bfloat16,100,50,"{'dense_bf16': 128, 'sparse_bf16': 96}",bf16_for_unreplaced_layers,96,0
4,4,uniform_dense_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_000_dense_bf16_reference.json,25.700679,25.694784,25.780301,25.572609,25.847776,155.637911,bfloat16,100,50,{'dense_bf16': 224},bf16_for_unreplaced_layers,0,0
4,4,uniform_dense_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_002_uniform_dense_nvfp4.json,72.304019,71.509457,74.726870,70.696480,84.689758,55.321959,bfloat16,100,50,{'dense_nvfp4': 224},bf16_for_unreplaced_layers,224,0
4,4,uniform_sparse_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,40.945688,40.829281,41.183975,40.616257,43.139168,97.690385,bfloat16,100,50,{'sparse_bf16': 224},bf16_for_unreplaced_layers,224,0
4,4,uniform_sparse_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_004_uniform_sparse_nvfp4.json,72.361939,72.272339,73.024990,71.506432,74.861954,55.277679,bfloat16,100,50,{'sparse_nvfp4': 224},bf16_for_unreplaced_layers,224,0
8,8,dense_default_amp,uncompressed,,42.186346,42.188160,42.294714,41.999073,42.652576,189.634819,float32+amp_bfloat16,100,50,{'dense_default': 224},default_amp,0,0
8,8,ours_extreme_fastest_microbench,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_015_extreme_fastest_microbench.json,41.014203,40.774992,41.251453,40.300770,46.317505,195.054382,bfloat16,100,50,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}",bf16_for_unreplaced_layers,191,0
8,8,ours_gate_up_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_004_gate_up_sparse_bf16_64.json,34.793945,34.649887,35.076659,34.282593,38.241184,229.925063,bfloat16,100,50,"{'dense_bf16': 160, 'sparse_bf16': 64}",bf16_for_unreplaced_layers,64,0
8,8,ours_mlp_all_attn_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_008_mlp_all_plus_attn_sparse_bf16_64.json,38.524067,38.489727,38.674541,35.844448,41.975426,207.662396,bfloat16,100,50,"{'dense_bf16': 64, 'sparse_bf16': 160}",bf16_for_unreplaced_layers,160,0
8,8,ours_mlp_sparse_bf16_96,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_006_mlp_sparse_bf16_96.json,31.499522,31.317904,32.055226,31.013824,34.829662,253.972110,bfloat16,100,50,"{'dense_bf16': 128, 'sparse_bf16': 96}",bf16_for_unreplaced_layers,96,0
8,8,uniform_dense_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_000_dense_bf16_reference.json,28.328019,28.324112,28.360307,28.278175,28.393024,282.405914,bfloat16,100,50,{'dense_bf16': 224},bf16_for_unreplaced_layers,0,0
8,8,uniform_dense_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_002_uniform_dense_nvfp4.json,70.309365,70.930798,72.557664,62.207680,78.186111,113.782850,bfloat16,100,50,{'dense_nvfp4': 224},bf16_for_unreplaced_layers,224,0
8,8,uniform_sparse_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,36.054908,35.960081,36.338027,35.640736,38.070110,221.883802,bfloat16,100,50,{'sparse_bf16': 224},bf16_for_unreplaced_layers,224,0
8,8,uniform_sparse_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_004_uniform_sparse_nvfp4.json,73.662675,73.334862,75.055856,72.831490,78.542847,108.603169,bfloat16,100,50,{'sparse_nvfp4': 224},bf16_for_unreplaced_layers,224,0
