key,policy_index,batch_size_for_policy,point_index,policy_json,label,nll,nll_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_nll,replaced_linear_count,skipped_linear_count,backend_counts,runtime_skipped,sample_limit,batch_size,calib_samples,loss_definition
policy_038,38,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_038_random.json,random_mixed,13.5757963992,-0.2332771322,786852.7438995185,716498,9727030.968447,13.8090735314,175,0,"{'dense_bf16': 49, 'dense_nvfp4': 54, 'sparse_bf16': 58, 'sparse_nvfp4': 63}",[],,4,128,assistant_answer_token_nll
policy_046,46,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_046_random.json,random_mixed,13.5154741283,-0.2935994031,740791.2334097945,716498,9683810.181974,13.8090735314,173,0,"{'dense_bf16': 51, 'dense_nvfp4': 56, 'sparse_bf16': 57, 'sparse_nvfp4': 60}",[],,4,128,assistant_answer_token_nll
policy_054,54,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_054_random.json,random_mixed,13.9060791302,0.0970055988,1094796.5777483338,716498,9963677.884651,13.8090735314,175,0,"{'dense_bf16': 49, 'dense_nvfp4': 60, 'sparse_bf16': 56, 'sparse_nvfp4': 59}",[],,4,128,assistant_answer_token_nll
policy_030,30,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_030_random.json,random_mixed,13.6817662493,-0.1273072821,874813.7183162294,716498,9802958.154107,13.8090735314,165,0,"{'dense_bf16': 59, 'dense_nvfp4': 57, 'sparse_bf16': 52, 'sparse_nvfp4': 56}",[],,4,128,assistant_answer_token_nll
policy_005,5,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_005_dense_nvfp4_r0.35.json,dense_nvfp4_ratio_0.35,13.8576546098,0.0485810784,1043044.7204242074,716498,9928981.812604,13.8090735314,78,0,"{'dense_bf16': 146, 'dense_nvfp4': 78}",[],,4,128,assistant_answer_token_nll
policy_013,13,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_013_sparse_bf16_r0.35.json,sparse_bf16_ratio_0.35,13.5927403835,-0.2163331479,800298.7572798833,716498,9739171.299323,13.8090735314,78,0,"{'dense_bf16': 146, 'sparse_bf16': 78}",[],,4,128,assistant_answer_token_nll
policy_021,21,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_021_sparse_nvfp4_r0.35.json,sparse_nvfp4_ratio_0.35,13.5686406908,-0.2404328406,781242.3521963458,716498,9721903.917674,13.8090735314,78,0,"{'dense_bf16': 146, 'sparse_nvfp4': 78}",[],,4,128,assistant_answer_token_nll
policy_039,39,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_039_random.json,random_mixed,13.9441997929,0.1351262615,1137336.6247113643,716498,9990991.263188,13.8090735314,172,0,"{'dense_bf16': 52, 'dense_nvfp4': 62, 'sparse_bf16': 54, 'sparse_nvfp4': 56}",[],,4,128,assistant_answer_token_nll
policy_047,47,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_047_random.json,random_mixed,13.7215130271,-0.0875605043,910285.0098873121,716498,9831436.640916,13.8090735314,171,0,"{'dense_bf16': 53, 'dense_nvfp4': 50, 'sparse_bf16': 58, 'sparse_nvfp4': 63}",[],,4,128,assistant_answer_token_nll
policy_055,55,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_055_random.json,random_mixed,13.6419783110,-0.1670952204,840690.0410541897,716498,9774450.175901,13.8090735314,171,0,"{'dense_bf16': 53, 'dense_nvfp4': 49, 'sparse_bf16': 62, 'sparse_nvfp4': 60}",[],,4,128,assistant_answer_token_nll
policy_031,31,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_031_random.json,random_mixed,13.5994191079,-0.2096544235,805661.6206864448,716498,9743956.591962,13.8090735314,172,0,"{'dense_bf16': 52, 'dense_nvfp4': 55, 'sparse_bf16': 53, 'sparse_nvfp4': 64}",[],,4,128,assistant_answer_token_nll
policy_006,6,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_006_dense_nvfp4_r0.5.json,dense_nvfp4_ratio_0.5,13.7523191968,-0.0567543346,938763.8136056709,716498,9853509.199901,13.8090735314,112,0,"{'dense_bf16': 112, 'dense_nvfp4': 112}",[],,4,128,assistant_answer_token_nll
policy_022,22,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_022_sparse_nvfp4_r0.5.json,sparse_nvfp4_ratio_0.5,13.9128153432,0.1037418118,1102196.2556150781,716498,9968504.367796,13.8090735314,112,0,"{'dense_bf16': 112, 'sparse_nvfp4': 112}",[],,4,128,assistant_answer_token_nll
policy_014,14,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_014_sparse_bf16_r0.5.json,sparse_bf16_ratio_0.5,13.7768994881,-0.0321740433,962124.8356875844,716498,9871120.929393,13.8090735314,112,0,"{'dense_bf16': 112, 'sparse_bf16': 112}",[],,4,128,assistant_answer_token_nll
policy_040,40,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_040_random.json,random_mixed,13.3598298136,-0.4492437178,634016.2180349408,716498,9572291.341777,13.8090735314,168,0,"{'dense_bf16': 56, 'dense_nvfp4': 61, 'sparse_bf16': 59, 'sparse_nvfp4': 48}",[],,4,128,assistant_answer_token_nll
policy_056,56,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_056_random.json,random_mixed,13.5641653177,-0.2449082137,777753.8133057139,716498,9718697.321833,13.8090735314,169,0,"{'dense_bf16': 55, 'dense_nvfp4': 57, 'sparse_bf16': 52, 'sparse_nvfp4': 60}",[],,4,128,assistant_answer_token_nll
policy_048,48,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_048_random.json,random_mixed,13.6578453470,-0.1512281844,854135.6893502057,716498,9785818.875418,13.8090735314,162,0,"{'dense_bf16': 62, 'dense_nvfp4': 61, 'sparse_bf16': 56, 'sparse_nvfp4': 45}",[],,4,128,assistant_answer_token_nll
policy_032,32,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_032_random.json,random_mixed,13.4459089351,-0.3631645963,691009.5582481917,716498,9633966.860210,13.8090735314,168,0,"{'dense_bf16': 56, 'dense_nvfp4': 57, 'sparse_bf16': 46, 'sparse_nvfp4': 65}",[],,4,128,assistant_answer_token_nll
policy_007,7,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_007_dense_nvfp4_r0.75.json,dense_nvfp4_ratio_0.75,13.8900988129,0.0810252815,1077440.4287688078,716498,9952228.019250,13.8090735314,168,0,"{'dense_bf16': 56, 'dense_nvfp4': 168}",[],,4,128,assistant_answer_token_nll
policy_023,23,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_023_sparse_nvfp4_r0.75.json,sparse_nvfp4_ratio_0.75,13.3388045669,-0.4702689645,620825.0305765525,716498,9557226.794582,13.8090735314,168,0,"{'dense_bf16': 56, 'sparse_nvfp4': 168}",[],,4,128,assistant_answer_token_nll
policy_015,15,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_015_sparse_bf16_r0.75.json,sparse_bf16_ratio_0.75,13.6970917255,-0.1119818059,888323.9158363234,716498,9813938.827172,13.8090735314,168,0,"{'dense_bf16': 56, 'sparse_bf16': 168}",[],,4,128,assistant_answer_token_nll
policy_008,8,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_008_dense_nvfp4_r1.json,dense_nvfp4_ratio_1,13.8504409388,0.0413674074,1035547.6122797380,716498,9923813.231733,13.8090735314,224,0,{'dense_nvfp4': 224},[],,4,128,assistant_answer_token_nll
policy_024,24,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_024_sparse_nvfp4_r1.json,sparse_nvfp4_ratio_1,13.3967305448,-0.4123429866,657848.8974226981,716498,9598730.641860,13.8090735314,224,0,{'sparse_nvfp4': 224},[],,4,128,assistant_answer_token_nll
policy_016,16,,,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_016_sparse_bf16_r1.json,sparse_bf16_ratio_1,13.6312785251,-0.1777950063,831742.7897764380,716498,9766783.800680,13.8090735314,224,0,{'sparse_bf16': 224},[],,4,128,assistant_answer_token_nll
