model,scenario,method_family,policy_or_method,batch_size,input_tokens,output_tokens,prefill_ms,decode_avg_ms,decode_first_ms,decode_steady_ms,decode_x_n_ms,e2e_ms,replaced_linear_count,skipped_linear_count,backend_counts,policy_json
Llama-2-7B,normal_01,single,marlin_nvfp4,1,16384,32,1521.3753662109375,23.50094711780548,24.87811279296875,23.455266253153482,752.0303077697754,2273.405673980713,224,0,{'marlin_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/marlin_nvfp4/normal_01/llama2-7b_policy.json
Llama-3.1-8B,normal_01,single,marlin_nvfp4,1,16384,32,1616.6365966796875,22.840776026248932,24.921247482299805,22.77424430847168,730.9048328399658,2347.5414295196533,224,0,{'marlin_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/marlin_nvfp4/normal_01/llama31-8b_policy.json
Llama-2-7B,prefill_only,single,marlin_nvfp4,16,1024,0,1185.4903564453125,0.0,0.0,0.0,0.0,1185.4903564453125,224,0,{'marlin_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/marlin_nvfp4/prefill_only/llama2-7b_policy.json
Llama-3.1-8B,prefill_only,single,marlin_nvfp4,16,1024,0,1294.63427734375,0.0,0.0,0.0,0.0,1294.63427734375,224,0,{'marlin_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/marlin_nvfp4/prefill_only/llama31-8b_policy.json
Qwen3.5-9B,prefill_only,single,marlin_nvfp4,16,1024,0,1873.1986083984375,0.0,0.0,0.0,0.0,1873.1986083984375,200,48,{'marlin_nvfp4': 200},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/marlin_nvfp4/prefill_only/qwen35-9b_policy.json
Llama-2-7B,normal_02,single,marlin_nvfp4,1,16384,256,1521.1656494140625,23.639850735664368,24.7640323638916,23.635361618883028,6051.801788330078,7572.967437744141,224,0,{'marlin_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/marlin_nvfp4/normal_02/llama2-7b_policy.json
Qwen3.5-9B,normal_01,manual,manual,1,16384,32,2558.26611328125,45.980775356292725,135.635009765625,43.07902005513509,1471.3848114013672,4029.650924682617,248,0,"{'marlin_nvfp4': 104, 'dense_nvfp4/marlin_nvfp4': 96, 'bf16': 48}",/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/manual/normal_01/qwen35-9b_policy.json
Llama-2-7B,normal_01,manual,manual,1,16384,32,1277.6015625,25.7826229929924,99.0040283203125,23.411159578959147,825.0439357757568,2102.645498275757,224,0,"{'marlin_nvfp4': 160, 'dense_nvfp4/marlin_nvfp4': 64}",/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/manual/normal_01/llama2-7b_policy.json
Llama-3.1-8B,normal_01,manual,manual,1,16384,32,1277.2491455078125,24.417255222797394,77.7185287475586,22.689390055338542,781.3521671295166,2058.601312637329,224,0,"{'marlin_nvfp4': 160, 'dense_nvfp4/marlin_nvfp4': 64}",/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/manual/normal_01/llama31-8b_policy.json
Llama-2-7B,prefill_only,manual,manual,16,1024,0,791.1356201171875,0.0,0.0,0.0,0.0,791.1356201171875,224,0,{'sparse_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/manual/prefill_only/llama2-7b_policy.json
Llama-3.1-8B,prefill_only,manual,manual,16,1024,0,817.8516845703125,0.0,0.0,0.0,0.0,817.8516845703125,224,0,"{'sparse_nvfp4': 160, 'marlin_nvfp4': 64}",/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/manual/prefill_only/llama31-8b_policy.json
Qwen3.5-9B,prefill_only,manual,manual,16,1024,0,1395.3887939453125,0.0,0.0,0.0,0.0,1395.3887939453125,248,0,"{'sparse_nvfp4': 184, 'bf16': 48, 'marlin_nvfp4': 16}",/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/manual/prefill_only/qwen35-9b_policy.json
Llama-2-7B,normal_02,manual,manual,1,16384,256,1521.2552490234375,23.65373820066452,24.449087142944336,23.65100102161798,6055.356979370117,7576.612228393555,224,0,{'marlin_nvfp4': 224},/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/manual/normal_02/llama2-7b_policy.json
