name,module_name,module_index,layer,module_type,module_family,n,k,selected_method,backend,quality_cost,latency_cost
model.language_model.layers.7.mlp.up_proj,model.language_model.layers.7.mlp.up_proj,55,7,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.004261716651158911,2.5708457841501398
model.language_model.layers.7.mlp.down_proj,model.language_model.layers.7.mlp.down_proj,56,7,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,0.000333674328755943,3.4039856523906575
model.language_model.layers.8.self_attn.q_proj,model.language_model.layers.8.self_attn.q_proj,57,8,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0001865567033778969,1.257995
model.language_model.layers.8.self_attn.k_proj,model.language_model.layers.8.self_attn.k_proj,58,8,k_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00014322401891520993,1.257995
model.language_model.layers.8.self_attn.v_proj,model.language_model.layers.8.self_attn.v_proj,59,8,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00036113752264671734,1.257995
model.language_model.layers.8.self_attn.o_proj,model.language_model.layers.8.self_attn.o_proj,60,8,o_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00036984518622675726,1.257995
model.language_model.layers.8.mlp.gate_proj,model.language_model.layers.8.mlp.gate_proj,61,8,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0012349453097868514,2.5708457841501398
model.language_model.layers.8.mlp.up_proj,model.language_model.layers.8.mlp.up_proj,62,8,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.002547082275481515,2.5708457841501398
model.language_model.layers.8.mlp.down_proj,model.language_model.layers.8.mlp.down_proj,63,8,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,0.00035643715291728433,3.4039856523906575
model.language_model.layers.9.self_attn.q_proj,model.language_model.layers.9.self_attn.q_proj,64,9,q_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00019101896806820437,1.257995
model.language_model.layers.9.self_attn.k_proj,model.language_model.layers.9.self_attn.k_proj,65,9,k_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0011102468080590175,1.8060494999999999
model.language_model.layers.9.self_attn.v_proj,model.language_model.layers.9.self_attn.v_proj,66,9,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.0003307817871887404,1.257995
model.language_model.layers.9.self_attn.o_proj,model.language_model.layers.9.self_attn.o_proj,67,9,o_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00040478549629292506,1.257995
