key,policy_index,batch_size_for_policy,point_index,policy_json,label,benchmark,dataset,ce_nll,num_samples,real_samples,fake_samples,acc,real_acc,fake_acc,bal_acc,auc,ap,runtime_dtype,effective_dense_runtime,replaced_linear_count,skipped_linear_count,backend_counts,runtime_skipped,sample_limit,batch_size,calib_samples
policy_002,2,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_002_lowerr_count_45.json,lowerr_count_45,GenImage,ADM,0.0963605437,192,96,96,0.98437500,1.00000000,0.96875000,0.98437500,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,45,0,"{'dense_bf16': 179, 'sparse_bf16': 45}",[],192,16,64
policy_032,32,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_032_mlp_only.json,mlp_only,GenImage,glide,0.1578571846,192,96,96,0.94270833,0.88541667,1.00000000,0.94270833,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,96,0,"{'dense_bf16': 128, 'sparse_bf16': 96}",[],192,16,64
policy_012,12,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_012_lowerr_count_112.json,lowerr_count_112,GenImage,Midjourney,0.0700611171,192,96,96,0.99479167,1.00000000,0.98958333,0.99479167,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,112,0,"{'dense_bf16': 112, 'sparse_bf16': 112}",[],192,16,64
policy_037,37,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_037_type_gate_proj.json,type_gate_proj,GenImage,glide,0.0521873791,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,32,0,"{'dense_bf16': 192, 'sparse_bf16': 32}",[],192,16,64
policy_022,22,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_022_lowerr_count_190.json,lowerr_count_190,GenImage,wukong,0.0681700024,192,96,96,0.98958333,0.98958333,0.98958333,0.98958333,0.99989149,0.99989261,bfloat16,bf16_for_unreplaced_layers,190,0,"{'dense_bf16': 34, 'sparse_bf16': 190}",[],192,16,64
policy_002,2,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_002_lowerr_count_45.json,lowerr_count_45,GenImage,glide,0.0523423984,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,45,0,"{'dense_bf16': 179, 'sparse_bf16': 45}",[],192,16,64
policy_027,27,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_027_layer_00_07.json,layer_00_07,GenImage,stable_diffusion_v_1_5,0.0566991363,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,56,0,"{'dense_bf16': 168, 'sparse_bf16': 56}",[],192,16,64
policy_032,32,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_032_mlp_only.json,mlp_only,GenImage,wukong,0.1630017708,192,96,96,0.95312500,0.90625000,1.00000000,0.95312500,0.99989149,0.99989261,bfloat16,bf16_for_unreplaced_layers,96,0,"{'dense_bf16': 128, 'sparse_bf16': 96}",[],192,16,64
policy_012,12,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_012_lowerr_count_112.json,lowerr_count_112,GenImage,stable_diffusion_v_1_4,0.0527205026,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,112,0,"{'dense_bf16': 112, 'sparse_bf16': 112}",[],192,16,64
policy_022,22,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_022_lowerr_count_190.json,lowerr_count_190,GenImage,VQDM,0.0520748869,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,190,0,"{'dense_bf16': 34, 'sparse_bf16': 190}",[],192,16,64
policy_037,37,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_037_type_gate_proj.json,type_gate_proj,GenImage,wukong,0.0528877716,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,32,0,"{'dense_bf16': 192, 'sparse_bf16': 32}",[],192,16,64
policy_002,2,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_002_lowerr_count_45.json,lowerr_count_45,GenImage,wukong,0.0530032758,192,96,96,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,45,0,"{'dense_bf16': 179, 'sparse_bf16': 45}",[],192,16,64
policy_027,27,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_027_layer_00_07.json,layer_00_07,GenImage,ADM,0.1095128944,192,96,96,0.97395833,1.00000000,0.94791667,0.97395833,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,56,0,"{'dense_bf16': 168, 'sparse_bf16': 56}",[],192,16,64
policy_032,32,,,artifacts/debug/031_mirror_sparse_bf16_additivity_debug/policies/controlled_sparse_bf16/policy_032_mlp_only.json,mlp_only,GenImage,VQDM,0.1387695717,192,96,96,0.95312500,0.90625000,1.00000000,0.95312500,1.00000000,1.00000000,bfloat16,bf16_for_unreplaced_layers,96,0,"{'dense_bf16': 128, 'sparse_bf16': 96}",[],192,16,64
