module_index,module_name,layer,layer_bucket,module_type,module_family,in_features,out_features,numel,weight_mean,weight_std,weight_abs_mean,weight_abs_max,weight_outlier_ratio_6x,weight_row_norm_mean,weight_row_norm_max,weight_col_norm_mean,weight_col_norm_max,activation_mean,activation_std,activation_abs_mean,activation_abs_max,activation_outlier_ratio_6x_weight_mean,method,weight_mse,weight_rel_mse,weight_rmse_over_rms,weight_max_abs_error,output_mse,output_rel_mse,output_rmse_over_rms,output_max_abs_error,output_ref_rms
9,model.layers.1.self_attn.k_proj,1,layers_00_07,k_proj,attention,4096,4096,16777216,-2.339013917662669e-06,0.026408636942505836,0.017670709639787674,0.57421875,0.006669104099273682,1.4542551040649414,4.771492958068848,1.656357765197754,5.356703281402588,0.001421887313881598,0.15140377631448437,0.04517208808101714,9.375,0.07629236578941345,sparse_bf16,0.00012568083184305578,0.18020925480471295,0.4245106062334756,0.23046875,0.0003123252507748475,0.00029388183236303496,0.017142982014895627,0.5390625,1.0309015181051913
9,model.layers.1.self_attn.k_proj,1,layers_00_07,k_proj,attention,4096,4096,16777216,-2.339013917662669e-06,0.026408636942505836,0.017670709639787674,0.57421875,0.006669104099273682,1.4542551040649414,4.771492958068848,1.656357765197754,5.356703281402588,0.001421887313881598,0.15140377631448437,0.04517208808101714,9.375,0.07629236578941345,sparse_nvfp4,0.00020924340060446411,0.3000266368607581,0.5477468729812687,0.275390625,0.0011978807324339869,0.001127143526585539,0.03357295826383995,0.7890625,1.0309015181051913
9,model.layers.1.self_attn.k_proj,1,layers_00_07,k_proj,attention,4096,4096,16777216,-2.339013917662669e-06,0.026408636942505836,0.017670709639787674,0.57421875,0.006669104099273682,1.4542551040649414,4.771492958068848,1.656357765197754,5.356703281402588,0.001421887313881598,0.15140377631448437,0.04517208808101714,9.375,0.07629236578941345,marlin_nvfp4,5.4974138947727624e-06,0.007882545387407956,0.08878370000967495,0.041015625,0.0003631535930708196,0.00034170866139097083,0.01848536343681051,0.2724609375,1.0309015181051913
10,model.layers.1.self_attn.v_proj,1,layers_00_07,v_proj,attention,4096,4096,16777216,1.5309313994293916e-06,0.01004513818770647,0.007418008521199226,0.1279296875,0.0008510947227478027,0.6054952144622803,1.7997655868530273,0.6337789297103882,0.7756046652793884,0.001421887313881598,0.15140377631448437,0.04517208808101714,9.375,0.26303060352802277,dense_nvfp4,8.152845794029417e-07,0.008079739786581596,0.08988737278718072,0.01171875,1.679222619088705e-05,0.0048574540601605916,0.06969543787193386,0.056640625,0.05879627152320056
10,model.layers.1.self_attn.v_proj,1,layers_00_07,v_proj,attention,4096,4096,16777216,1.5309313994293916e-06,0.01004513818770647,0.007418008521199226,0.1279296875,0.0008510947227478027,0.6054952144622803,1.7997655868530273,0.6337789297103882,0.7756046652793884,0.001421887313881598,0.15140377631448437,0.04517208808101714,9.375,0.26303060352802277,sparse_bf16,1.9679751858348027e-05,0.19503284877090846,0.4416252356590466,0.07470703125,4.181210704246041e-05,0.012094905512140427,0.10997684079905382,0.34375,0.05879627152320056
10,model.layers.1.self_attn.v_proj,1,layers_00_07,v_proj,attention,4096,4096,16777216,1.5309313994293916e-06,0.01004513818770647,0.007418008521199226,0.1279296875,0.0008510947227478027,0.6054952144622803,1.7997655868530273,0.6337789297103882,0.7756046652793884,0.001421887313881598,0.15140377631448437,0.04517208808101714,9.375,0.26303060352802277,sparse_nvfp4,3.0992152460385114e-05,0.3071424796104426,0.5542043662859781,0.0703125,9.546836076879117e-05,0.027615943911290547,0.16618045586437216,0.5,0.05879627152320056
10,model.layers.1.self_attn.v_proj,1,layers_00_07,v_proj,attention,4096,4096,16777216,1.5309313994293916e-06,0.01004513818770647,0.007418008521199226,0.1279296875,0.0008510947227478027,0.6054952144622803,1.7997655868530273,0.6337789297103882,0.7756046652793884,0.001421887313881598,0.15140377631448437,0.04517208808101714,9.375,0.26303060352802277,marlin_nvfp4,8.152845794029417e-07,0.008079739786581596,0.08988737278718072,0.01171875,1.679222619088705e-05,0.0048574540601605916,0.06969543787193386,0.056640625,0.05879627152320056
11,model.layers.1.self_attn.o_proj,1,layers_00_07,o_proj,attention,4096,4096,16777216,8.839830911711033e-08,0.008248118683695793,0.005762292072176933,0.58984375,0.001968681812286377,0.5225557684898376,3.074347734451294,0.4684734046459198,1.0463354587554932,-1.271245684009159e-05,0.017644263621549482,0.007234010012325598,2.921875,0.03489479422569275,dense_nvfp4,5.182718041396583e-07,0.007618118590627297,0.08728183425333874,0.033203125,8.490359273416459e-07,0.0026375190124432422,0.05135678156235301,0.09375,0.017941767913675827
11,model.layers.1.self_attn.o_proj,1,layers_00_07,o_proj,attention,4096,4096,16777216,8.839830911711033e-08,0.008248118683695793,0.005762292072176933,0.58984375,0.001968681812286377,0.5225557684898376,3.074347734451294,0.4684734046459198,1.0463354587554932,-1.271245684009159e-05,0.017644263621549482,0.007234010012325598,2.921875,0.03489479422569275,sparse_bf16,1.6970912838587537e-05,0.24945680155257005,0.4994565061670236,0.12744140625,6.040120672068383e-06,0.018763555930915658,0.13698012969374668,0.1083984375,0.017941767913675827
11,model.layers.1.self_attn.o_proj,1,layers_00_07,o_proj,attention,4096,4096,16777216,8.839830911711033e-08,0.008248118683695793,0.005762292072176933,0.58984375,0.001968681812286377,0.5225557684898376,3.074347734451294,0.4684734046459198,1.0463354587554932,-1.271245684009159e-05,0.017644263621549482,0.007234010012325598,2.921875,0.03489479422569275,sparse_nvfp4,2.8068739993614145e-05,0.4125846481573498,0.6423275240540061,0.188751220703125,1.1477469481491198e-05,0.035654608948001404,0.1888242806103108,0.148223876953125,0.017941767913675827
11,model.layers.1.self_attn.o_proj,1,layers_00_07,o_proj,attention,4096,4096,16777216,8.839830911711033e-08,0.008248118683695793,0.005762292072176933,0.58984375,0.001968681812286377,0.5225557684898376,3.074347734451294,0.4684734046459198,1.0463354587554932,-1.271245684009159e-05,0.017644263621549482,0.007234010012325598,2.921875,0.03489479422569275,marlin_nvfp4,5.182718041396583e-07,0.007618118590627297,0.08728183425333874,0.033203125,8.490359273416459e-07,0.0026375190124432422,0.05135678156235301,0.09375,0.017941767913675827
12,model.layers.1.mlp.gate_proj,1,layers_00_07,gate_proj,mlp,4096,11008,45088768,-3.189399649272673e-05,0.018217120319604874,0.014407467097043991,1.09375,0.0002469794708304107,1.157204508781433,9.14868450164795,1.9106453657150269,2.5000147819519043,0.00029611491186187777,0.07066705707808055,0.0538175510300789,2.8125,0.19498343393206596,dense_nvfp4,2.4686627046659936e-06,0.00743876758600647,0.08624829033671606,0.0546875,4.8787615501063303e-05,0.0022110164032453318,0.04702144620537879,0.25,0.14854526536555798
12,model.layers.1.mlp.gate_proj,1,layers_00_07,gate_proj,mlp,4096,11008,45088768,-3.189399649272673e-05,0.018217120319604874,0.014407467097043991,1.09375,0.0002469794708304107,1.157204508781433,9.14868450164795,1.9106453657150269,2.5000147819519043,0.00029611491186187777,0.07066705707808055,0.0538175510300789,2.8125,0.19498343393206596,sparse_bf16,6.833672523498535e-05,0.20591756648286919,0.45378140826048524,0.9921875,0.00042705435162345166,0.019353767689182767,0.13911781945237198,2.0,0.14854526536555798
12,model.layers.1.mlp.gate_proj,1,layers_00_07,gate_proj,mlp,4096,11008,45088768,-3.189399649272673e-05,0.018217120319604874,0.014407467097043991,1.09375,0.0002469794708304107,1.157204508781433,9.14868450164795,1.9106453657150269,2.5000147819519043,0.00029611491186187777,0.07066705707808055,0.0538175510300789,2.8125,0.19498343393206596,sparse_nvfp4,0.00010889961362578148,0.3281448350303061,0.572839275041705,1.234375,0.0008227721964642622,0.03728738951132028,0.1930994290807725,3.5,0.14854526536555798
12,model.layers.1.mlp.gate_proj,1,layers_00_07,gate_proj,mlp,4096,11008,45088768,-3.189399649272673e-05,0.018217120319604874,0.014407467097043991,1.09375,0.0002469794708304107,1.157204508781433,9.14868450164795,1.9106453657150269,2.5000147819519043,0.00029611491186187777,0.07066705707808055,0.0538175510300789,2.8125,0.19498343393206596,marlin_nvfp4,2.4686627046659936e-06,0.00743876758600647,0.08624829033671606,0.0546875,4.8787615501063303e-05,0.0022110164032453318,0.04702144620537879,0.25,0.14854526536555798
